%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 11.00 < q2 < 11.75 GeV^{2}/c^{4}

# AFB     FH   p-value
-0.078125  0.46875  0.01
-0.069375  0.15625  0.01
-0.069375  0.20625  0.01
-0.069375  0.31875  0.01
-0.060625  0.13125  0.01
-0.060625  0.14375  0.01
-0.060625  0.15625  0.01
-0.060625  0.16875  0.01
-0.060625  0.18125  0.01
-0.060625  0.19375  0.01
-0.060625  0.20625  0.01
-0.060625  0.23125  0.01
-0.060625  0.24375  0.01
-0.060625  0.30625  0.01
-0.060625  0.39375  0.01
-0.060625  0.40625  0.01
-0.060625  0.49375  0.01
-0.051875  0.10625  0.01
-0.051875  0.11875  0.01
-0.051875  0.13125  0.01
-0.051875  0.16875  0.01
-0.051875  0.18125  0.01
-0.051875  0.19375  0.01
-0.051875  0.20625  0.01
-0.051875  0.21875  0.01
-0.051875  0.24375  0.01
-0.051875  0.25625  0.01
-0.051875  0.26875  0.01
-0.051875  0.28125  0.01
-0.051875  0.29375  0.01
-0.051875  0.31875  0.01
-0.051875  0.35625  0.01
-0.051875  0.36875  0.01
-0.051875  0.38125  0.01
-0.043125  0.10625  0.01
-0.043125  0.15625  0.01
-0.043125  0.18125  0.01
-0.043125  0.19375  0.01
-0.043125  0.20625  0.01
-0.043125  0.21875  0.02
-0.043125  0.23125  0.01
-0.043125  0.24375  0.02
-0.043125  0.25625  0.01
-0.043125  0.26875  0.01
-0.043125  0.28125  0.01
-0.043125  0.31875  0.01
-0.043125  0.34375  0.01
-0.043125  0.36875  0.01
-0.043125  0.39375  0.01
-0.043125  0.41875  0.01
-0.043125  0.44375  0.01
-0.034375  0.08125  0.01
-0.034375  0.09375  0.01
-0.034375  0.10625  0.01
-0.034375  0.11875  0.01
-0.034375  0.13125  0.02
-0.034375  0.14375  0.01
-0.034375  0.15625  0.01
-0.034375  0.16875  0.02
-0.034375  0.18125  0.04
-0.034375  0.20625  0.02
-0.034375  0.21875  0.01
-0.034375  0.23125  0.01
-0.034375  0.24375  0.02
-0.034375  0.25625  0.02
-0.034375  0.28125  0.02
-0.034375  0.29375  0.01
-0.034375  0.30625  0.01
-0.034375  0.34375  0.01
-0.034375  0.35625  0.01
-0.034375  0.36875  0.01
-0.034375  0.39375  0.01
-0.034375  0.41875  0.01
-0.034375  0.49375  0.01
-0.025625  0.05625  0.01
-0.025625  0.06875  0.02
-0.025625  0.08125  0.01
-0.025625  0.09375  0.03
-0.025625  0.10625  0.01
-0.025625  0.11875  0.04
-0.025625  0.13125  0.06
-0.025625  0.14375  0.04
-0.025625  0.15625  0.03
-0.025625  0.16875  0.03
-0.025625  0.18125  0.02
-0.025625  0.19375  0.03
-0.025625  0.20625  0.02
-0.025625  0.21875  0.01
-0.025625  0.23125  0.03
-0.025625  0.24375  0.03
-0.025625  0.25625  0.02
-0.025625  0.29375  0.01
-0.025625  0.30625  0.01
-0.025625  0.31875  0.02
-0.025625  0.33125  0.01
-0.025625  0.34375  0.01
-0.025625  0.36875  0.01
-0.025625  0.38125  0.01
-0.025625  0.43125  0.01
-0.025625  0.45625  0.01
-0.016875  0.04375  0.02
-0.016875  0.05625  0.04
-0.016875  0.06875  0.04
-0.016875  0.08125  0.05
-0.016875  0.09375  0.05
-0.016875  0.10625  0.06
-0.016875  0.11875  0.06
-0.016875  0.13125  0.04
-0.016875  0.14375  0.03
-0.016875  0.15625  0.05
-0.016875  0.16875  0.06
-0.016875  0.18125  0.03
-0.016875  0.19375  0.03
-0.016875  0.20625  0.02
-0.016875  0.21875  0.06
-0.016875  0.23125  0.02
-0.016875  0.24375  0.02
-0.016875  0.25625  0.03
-0.016875  0.26875  0.02
-0.016875  0.28125  0.03
-0.016875  0.29375  0.03
-0.016875  0.30625  0.01
-0.016875  0.31875  0.03
-0.016875  0.33125  0.02
-0.016875  0.34375  0.01
-0.016875  0.35625  0.01
-0.016875  0.36875  0.01
-0.016875  0.38125  0.01
-0.016875  0.39375  0.01
-0.016875  0.43125  0.01
-0.016875  0.44375  0.01
-0.008125  0.01875  0.06
-0.008125  0.03125  0.07
-0.008125  0.04375  0.07
-0.008125  0.05625  0.03
-0.008125  0.06875  0.09
-0.008125  0.08125  0.07
-0.008125  0.09375  0.06
