%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 15.00 < q2 < 22.00 GeV^{2}/c^{4}

# AFB     FH   p-value
-0.04375  0.09675  0.05
-0.04125  0.08325  0.06
-0.04125  0.08775  0.07
-0.04125  0.09225  0.07
-0.04125  0.09675  0.07
-0.04125  0.11475  0.05
-0.03875  0.07875  0.12
-0.03875  0.08325  0.07
-0.03875  0.08775  0.09
-0.03875  0.09225  0.11
-0.03875  0.09675  0.09
-0.03875  0.10125  0.06
-0.03875  0.10575  0.05
-0.03625  0.07425  0.13
-0.03625  0.07875  0.15
-0.03625  0.08325  0.11
-0.03625  0.08775  0.1
-0.03625  0.09225  0.1
-0.03625  0.09675  0.08
-0.03625  0.10125  0.06
-0.03625  0.10575  0.08
-0.03625  0.11025  0.05
-0.03375  0.06975  0.17
-0.03375  0.07425  0.22
-0.03375  0.07875  0.14
-0.03375  0.08325  0.13
-0.03375  0.08775  0.16
-0.03375  0.09225  0.1
-0.03375  0.09675  0.1
-0.03375  0.10125  0.1
-0.03375  0.10575  0.07
-0.03375  0.11025  0.05
-0.03375  0.11475  0.06
-0.03375  0.12375  0.05
-0.03125  0.06525  0.22
-0.03125  0.06975  0.2
-0.03125  0.07425  0.24
-0.03125  0.07875  0.21
-0.03125  0.08325  0.17
-0.03125  0.08775  0.16
-0.03125  0.09225  0.11
-0.03125  0.09675  0.18
-0.03125  0.10125  0.12
-0.03125  0.10575  0.12
-0.03125  0.11025  0.06
-0.03125  0.11475  0.09
-0.02875  0.06075  0.32
-0.02875  0.06525  0.31
-0.02875  0.06975  0.31
-0.02875  0.07425  0.28
-0.02875  0.07875  0.22
-0.02875  0.08325  0.24
-0.02875  0.08775  0.2
-0.02875  0.09225  0.15
-0.02875  0.09675  0.14
-0.02875  0.10125  0.11
-0.02875  0.10575  0.09
-0.02875  0.11025  0.11
-0.02875  0.11475  0.1
-0.02875  0.11925  0.07
-0.02875  0.12375  0.05
-0.02875  0.12825  0.06
-0.02875  0.13275  0.05
-0.02625  0.05625  0.4
-0.02625  0.06075  0.41
-0.02625  0.06525  0.33
-0.02625  0.06975  0.36
-0.02625  0.07425  0.34
-0.02625  0.07875  0.26
-0.02625  0.08325  0.26
-0.02625  0.08775  0.24
-0.02625  0.09225  0.22
-0.02625  0.09675  0.15
-0.02625  0.10125  0.12
-0.02625  0.10575  0.15
-0.02625  0.11025  0.12
-0.02625  0.11475  0.1
-0.02625  0.11925  0.1
-0.02625  0.12375  0.05
-0.02375  0.05175  0.51
-0.02375  0.05625  0.45
-0.02375  0.06075  0.43
-0.02375  0.06525  0.43
-0.02375  0.06975  0.39
-0.02375  0.07425  0.39
-0.02375  0.07875  0.33
-0.02375  0.08325  0.34
-0.02375  0.08775  0.26
-0.02375  0.09225  0.27
-0.02375  0.09675  0.16
-0.02375  0.10125  0.16
-0.02375  0.10575  0.12
-0.02375  0.11025  0.11
-0.02375  0.11475  0.11
-0.02375  0.11925  0.09
-0.02375  0.12375  0.07
-0.02125  0.04275  0.63
-0.02125  0.04725  0.55
-0.02125  0.05175  0.54
-0.02125  0.05625  0.56
-0.02125  0.06075  0.55
-0.02125  0.06525  0.54
-0.02125  0.06975  0.47
-0.02125  0.07425  0.44
-0.02125  0.07875  0.31
-0.02125  0.08325  0.33
-0.02125  0.08775  0.32
-0.02125  0.09225  0.3
-0.02125  0.09675  0.21
-0.02125  0.10125  0.21
-0.02125  0.10575  0.21
-0.02125  0.11025  0.2
-0.02125  0.11475  0.11
-0.02125  0.11925  0.11
-0.02125  0.12375  0.09
-0.02125  0.12825  0.05
-0.02125  0.13275  0.06
-0.02125  0.13725  0.05
-0.02125  0.15075  0.05
-0.01875  0.03825  0.69
-0.01875  0.04275  0.69
-0.01875  0.04725  0.7
-0.01875  0.05175  0.69
-0.01875  0.05625  0.69
-0.01875  0.06075  0.59
-0.01875  0.06525  0.59
-0.01875  0.06975  0.51
-0.01875  0.07425  0.49
-0.01875  0.07875  0.41
-0.01875  0.08325  0.39
-0.01875  0.08775  0.35
-0.01875  0.09225  0.32
-0.01875  0.09675  0.25
-0.01875  0.10125  0.19
-0.01875  0.10575  0.15
-0.01875  0.11025  0.13
-0.01875  0.11475  0.14
-0.01875  0.11925  0.1
-0.01875  0.12375  0.1
-0.01875  0.12825  0.05
-0.01875  0.13275  0.06
-0.01625  0.03375  0.81
-0.01625  0.03825  0.82
-0.01625  0.04275  0.84
-0.01625  0.04725  0.82
-0.01625  0.05175  0.8
-0.01625  0.05625  0.71
-0.01625  0.06075  0.66
-0.01625  0.06525  0.6
-0.01625  0.06975  0.52
-0.01625  0.07425  0.49
-0.01625  0.07875  0.46
-0.01625  0.08325  0.38
-0.01625  0.08775  0.39
-0.01625  0.09225  0.29
-0.01625  0.09675  0.29
-0.01625  0.10125  0.2
-0.01625  0.10575  0.15
-0.01625  0.11025  0.13
-0.01625  0.11475  0.15
-0.01625  0.11925  0.09
-0.01625  0.12375  0.09
-0.01625  0.12825  0.08
-0.01625  0.13275  0.06
-0.01375  0.02925  0.95
-0.01375  0.03375  0.95
-0.01375  0.03825  0.96
-0.01375  0.04275  0.93
-0.01375  0.04725  0.85
-0.01375  0.05175  0.84
-0.01375  0.05625  0.79
-0.01375  0.06075  0.7
-0.01375  0.06525  0.65
-0.01375  0.06975  0.56
-0.01375  0.07425  0.49
-0.01375  0.07875  0.43
-0.01375  0.08325  0.4
-0.01375  0.08775  0.36
-0.01375  0.09225  0.31
-0.01375  0.09675  0.26
-0.01375  0.10125  0.23
-0.01375  0.10575  0.19
-0.01375  0.11025  0.17
-0.01375  0.11475  0.14
-0.01375  0.11925  0.11
-0.01375  0.12375  0.09
-0.01375  0.12825  0.07
-0.01375  0.13275  0.06
-0.01125  0.02475  0.97
-0.01125  0.02925  0.99
-0.01125  0.03375  0.98
-0.01125  0.03825  0.92
-0.01125  0.04275  0.9
-0.01125  0.04725  0.88
-0.01125  0.05175  0.82
-0.01125  0.05625  0.76
-0.01125  0.06075  0.65
-0.01125  0.06525  0.71
-0.01125  0.06975  0.58
-0.01125  0.07425  0.52
-0.01125  0.07875  0.48
-0.01125  0.08325  0.4
-0.01125  0.08775  0.32
-0.01125  0.09225  0.32
-0.01125  0.09675  0.26
-0.01125  0.10125  0.24
-0.01125  0.10575  0.18
-0.01125  0.11025  0.15
-0.01125  0.11475  0.13
-0.01125  0.11925  0.11
-0.01125  0.12375  0.08
-0.01125  0.13275  0.08
-0.01125  0.13725  0.05
-0.00875  0.02025  0.92
-0.00875  0.02475  0.99
-0.00875  0.02925  1.0
-0.00875  0.03375  0.96
-0.00875  0.03825  0.94
-0.00875  0.04275  0.9
-0.00875  0.04725  0.89
-0.00875  0.05175  0.82
-0.00875  0.05625  0.74
-0.00875  0.06075  0.7
-0.00875  0.06525  0.7
-0.00875  0.06975  0.59
-0.00875  0.07425  0.54
-0.00875  0.07875  0.49
-0.00875  0.08325  0.43
-0.00875  0.08775  0.34
-0.00875  0.09225  0.31
-0.00875  0.09675  0.29
-0.00875  0.10125  0.22
-0.00875  0.10575  0.21
-0.00875  0.11025  0.18
-0.00875  0.11475  0.17
-0.00875  0.11925  0.11
-0.00875  0.12375  0.13
-0.00875  0.12825  0.08
-0.00875  0.13275  0.08
-0.00625  0.01575  0.88
-0.00625  0.02025  0.92
-0.00625  0.02475  0.96
-0.00625  0.02925  0.95
-0.00625  0.03375  0.96
-0.00625  0.03825  0.91
-0.00625  0.04275  0.89
-0.00625  0.04725  0.85
-0.00625  0.05175  0.8
-0.00625  0.05625  0.82
-0.00625  0.06075  0.67
-0.00625  0.06525  0.63
-0.00625  0.06975  0.57
-0.00625  0.07425  0.48
-0.00625  0.07875  0.4
-0.00625  0.08325  0.38
-0.00625  0.08775  0.39
-0.00625  0.09225  0.32
-0.00625  0.09675  0.28
-0.00625  0.10125  0.28
-0.00625  0.10575  0.19
-0.00625  0.11025  0.18
-0.00625  0.11475  0.14
-0.00625  0.11925  0.09
-0.00625  0.12375  0.08
-0.00625  0.12825  0.08
-0.00625  0.13275  0.07
-0.00375  0.01125  0.73
-0.00375  0.01575  0.82
-0.00375  0.02025  0.89
-0.00375  0.02475  0.93
-0.00375  0.02925  0.93
-0.00375  0.03375  0.88
-0.00375  0.03825  0.85
-0.00375  0.04275  0.86
-0.00375  0.04725  0.79
-0.00375  0.05175  0.74
-0.00375  0.05625  0.71
-0.00375  0.06075  0.66
-0.00375  0.06525  0.62
-0.00375  0.06975  0.59
-0.00375  0.07425  0.51
-0.00375  0.07875  0.45
-0.00375  0.08325  0.4
-0.00375  0.08775  0.38
-0.00375  0.09225  0.3
-0.00375  0.09675  0.21
-0.00375  0.10125  0.25
-0.00375  0.10575  0.17
-0.00375  0.11025  0.14
