%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 3.00 < q2 < 4.00 GeV^{2}/c^{4}

# AFB     FH   p-value
-0.0975  0.1975  0.01
-0.0925  0.1875  0.01
-0.0925  0.1925  0.02
-0.0925  0.1975  0.01
-0.0875  0.1775  0.05
-0.0875  0.1825  0.03
-0.0875  0.1875  0.04
-0.0875  0.1925  0.03
-0.0875  0.1975  0.02
-0.0825  0.1675  0.08
-0.0825  0.1725  0.04
-0.0825  0.1775  0.02
-0.0825  0.1825  0.05
-0.0825  0.1875  0.01
-0.0825  0.1925  0.05
-0.0825  0.1975  0.04
-0.0775  0.1575  0.05
-0.0775  0.1625  0.09
-0.0775  0.1675  0.04
-0.0775  0.1725  0.05
-0.0775  0.1775  0.03
-0.0775  0.1825  0.03
-0.0775  0.1875  0.04
-0.0775  0.1925  0.03
-0.0775  0.1975  0.01
-0.0725  0.1475  0.04
-0.0725  0.1525  0.05
-0.0725  0.1575  0.04
-0.0725  0.1625  0.05
-0.0725  0.1675  0.05
-0.0725  0.1725  0.01
-0.0725  0.1775  0.02
-0.0725  0.1825  0.03
-0.0725  0.1875  0.03
-0.0725  0.1925  0.03
-0.0725  0.1975  0.04
-0.0675  0.1375  0.09
-0.0675  0.1425  0.08
-0.0675  0.1475  0.07
-0.0675  0.1525  0.08
-0.0675  0.1575  0.05
-0.0675  0.1625  0.06
-0.0675  0.1675  0.05
-0.0675  0.1725  0.03
-0.0675  0.1775  0.02
-0.0675  0.1825  0.03
-0.0675  0.1875  0.03
-0.0675  0.1925  0.05
-0.0675  0.1975  0.01
-0.0625  0.1275  0.08
-0.0625  0.1325  0.1
-0.0625  0.1375  0.08
-0.0625  0.1425  0.08
-0.0625  0.1475  0.05
-0.0625  0.1525  0.05
-0.0625  0.1575  0.06
-0.0625  0.1625  0.05
-0.0625  0.1675  0.05
-0.0625  0.1725  0.05
-0.0625  0.1775  0.04
-0.0625  0.1825  0.04
-0.0625  0.1875  0.04
-0.0625  0.1925  0.03
-0.0625  0.1975  0.03
-0.0575  0.1175  0.16
-0.0575  0.1225  0.13
-0.0575  0.1275  0.1
-0.0575  0.1325  0.11
-0.0575  0.1375  0.13
-0.0575  0.1425  0.1
-0.0575  0.1475  0.05
-0.0575  0.1525  0.04
-0.0575  0.1575  0.07
-0.0575  0.1625  0.06
-0.0575  0.1675  0.06
-0.0575  0.1725  0.07
-0.0575  0.1775  0.05
-0.0575  0.1825  0.03
-0.0575  0.1875  0.01
-0.0575  0.1925  0.03
-0.0575  0.1975  0.04
-0.0525  0.1075  0.17
-0.0525  0.1125  0.12
-0.0525  0.1175  0.17
-0.0525  0.1225  0.17
-0.0525  0.1275  0.09
-0.0525  0.1325  0.11
-0.0525  0.1375  0.1
-0.0525  0.1425  0.09
-0.0525  0.1475  0.05
-0.0525  0.1525  0.08
-0.0525  0.1575  0.09
-0.0525  0.1625  0.06
-0.0525  0.1675  0.06
-0.0525  0.1725  0.05
-0.0525  0.1775  0.04
-0.0525  0.1825  0.04
-0.0525  0.1875  0.05
-0.0525  0.1925  0.03
-0.0525  0.1975  0.04
-0.0475  0.0975  0.19
-0.0475  0.1025  0.18
-0.0475  0.1075  0.16
-0.0475  0.1125  0.18
-0.0475  0.1175  0.09
-0.0475  0.1225  0.15
-0.0475  0.1275  0.11
-0.0475  0.1325  0.1
-0.0475  0.1375  0.09
-0.0475  0.1425  0.12
-0.0475  0.1475  0.08
-0.0475  0.1525  0.07
-0.0475  0.1575  0.05
-0.0475  0.1625  0.06
-0.0475  0.1675  0.06
-0.0475  0.1725  0.05
-0.0475  0.1775  0.03
-0.0475  0.1825  0.04
-0.0475  0.1875  0.05
-0.0475  0.1925  0.02
-0.0475  0.1975  0.02
-0.0425  0.0875  0.29
-0.0425  0.0925  0.23
-0.0425  0.0975  0.22
-0.0425  0.1025  0.17
-0.0425  0.1075  0.18
-0.0425  0.1125  0.17
-0.0425  0.1175  0.12
-0.0425  0.1225  0.12
-0.0425  0.1275  0.13
-0.0425  0.1325  0.12
-0.0425  0.1375  0.12
-0.0425  0.1425  0.11
-0.0425  0.1475  0.12
-0.0425  0.1525  0.06
-0.0425  0.1575  0.08
-0.0425  0.1625  0.09
-0.0425  0.1675  0.05
-0.0425  0.1725  0.06
-0.0425  0.1775  0.06
-0.0425  0.1825  0.03
-0.0425  0.1875  0.06
-0.0425  0.1925  0.02
-0.0425  0.1975  0.04
-0.0375  0.0775  0.33
-0.0375  0.0825  0.28
-0.0375  0.0875  0.24
-0.0375  0.0925  0.23
-0.0375  0.0975  0.15
-0.0375  0.1025  0.26
-0.0375  0.1075  0.19
-0.0375  0.1125  0.16
-0.0375  0.1175  0.17
-0.0375  0.1225  0.17
-0.0375  0.1275  0.14
-0.0375  0.1325  0.12
-0.0375  0.1375  0.13
-0.0375  0.1425  0.12
-0.0375  0.1475  0.13
-0.0375  0.1525  0.09
-0.0375  0.1575  0.11
-0.0375  0.1625  0.07
-0.0375  0.1675  0.08
-0.0375  0.1725  0.09
-0.0375  0.1775  0.04
-0.0375  0.1825  0.05
-0.0375  0.1875  0.04
-0.0375  0.1925  0.04
-0.0375  0.1975  0.05
-0.0325  0.0675  0.35
-0.0325  0.0725  0.35
-0.0325  0.0775  0.22
-0.0325  0.0825  0.3
-0.0325  0.0875  0.28
-0.0325  0.0925  0.2
-0.0325  0.0975  0.22
-0.0325  0.1025  0.22
-0.0325  0.1075  0.19
-0.0325  0.1125  0.2
-0.0325  0.1175  0.13
-0.0325  0.1225  0.12
-0.0325  0.1275  0.12
-0.0325  0.1325  0.13
-0.0325  0.1375  0.09
-0.0325  0.1425  0.13
-0.0325  0.1475  0.08
-0.0325  0.1525  0.16
-0.0325  0.1575  0.05
-0.0325  0.1625  0.06
-0.0325  0.1675  0.05
-0.0325  0.1725  0.06
-0.0325  0.1775  0.06
-0.0325  0.1825  0.06
-0.0325  0.1875  0.08
-0.0325  0.1925  0.02
-0.0325  0.1975  0.04
-0.0275  0.0575  0.47
-0.0275  0.0625  0.35
-0.0275  0.0675  0.34
-0.0275  0.0725  0.33
-0.0275  0.0775  0.31
-0.0275  0.0825  0.25
-0.0275  0.0875  0.29
-0.0275  0.0925  0.28
-0.0275  0.0975  0.26
-0.0275  0.1025  0.21
-0.0275  0.1075  0.16
-0.0275  0.1125  0.16
-0.0275  0.1175  0.12
-0.0275  0.1225  0.15
-0.0275  0.1275  0.11
-0.0275  0.1325  0.13
-0.0275  0.1375  0.14
-0.0275  0.1425  0.13
-0.0275  0.1475  0.09
-0.0275  0.1525  0.1
-0.0275  0.1575  0.08
-0.0275  0.1625  0.05
-0.0275  0.1675  0.06
-0.0275  0.1725  0.07
-0.0275  0.1775  0.06
-0.0275  0.1825  0.05
-0.0275  0.1875  0.05
-0.0275  0.1925  0.04
-0.0275  0.1975  0.03
-0.0225  0.0475  0.46
-0.0225  0.0525  0.47
-0.0225  0.0575  0.48
-0.0225  0.0625  0.38
-0.0225  0.0675  0.34
-0.0225  0.0725  0.29
-0.0225  0.0775  0.37
-0.0225  0.0825  0.22
-0.0225  0.0875  0.25
-0.0225  0.0925  0.22
-0.0225  0.0975  0.26
-0.0225  0.1025  0.19
-0.0225  0.1075  0.22
-0.0225  0.1125  0.19
-0.0225  0.1175  0.13
-0.0225  0.1225  0.16
-0.0225  0.1275  0.14
-0.0225  0.1325  0.11
-0.0225  0.1375  0.08
-0.0225  0.1425  0.17
-0.0225  0.1475  0.08
-0.0225  0.1525  0.09
-0.0225  0.1575  0.08
-0.0225  0.1625  0.1
-0.0225  0.1675  0.09
-0.0225  0.1725  0.08
-0.0225  0.1775  0.08
-0.0225  0.1825  0.04
-0.0225  0.1875  0.05
-0.0225  0.1925  0.02
-0.0225  0.1975  0.04
-0.0175  0.0375  0.64
-0.0175  0.0425  0.54
-0.0175  0.0475  0.48
-0.0175  0.0525  0.42
-0.0175  0.0575  0.41
-0.0175  0.0625  0.31
-0.0175  0.0675  0.37
-0.0175  0.0725  0.31
-0.0175  0.0775  0.31
-0.0175  0.0825  0.26
-0.0175  0.0875  0.29
-0.0175  0.0925  0.17
-0.0175  0.0975  0.23
-0.0175  0.1025  0.25
-0.0175  0.1075  0.14
-0.0175  0.1125  0.17
-0.0175  0.1175  0.16
-0.0175  0.1225  0.16
-0.0175  0.1275  0.13
-0.0175  0.1325  0.09
-0.0175  0.1375  0.13
-0.0175  0.1425  0.11
-0.0175  0.1475  0.05
-0.0175  0.1525  0.08
-0.0175  0.1575  0.04
-0.0175  0.1625  0.05
-0.0175  0.1675  0.04
-0.0175  0.1725  0.07
-0.0175  0.1775  0.04
-0.0175  0.1825  0.05
-0.0175  0.1875  0.05
-0.0175  0.1925  0.01
-0.0175  0.1975  0.03
-0.0125  0.0275  0.62
-0.0125  0.0325  0.57
-0.0125  0.0375  0.55
-0.0125  0.0425  0.46
-0.0125  0.0475  0.44
-0.0125  0.0525  0.38
-0.0125  0.0575  0.44
-0.0125  0.0625  0.43
-0.0125  0.0675  0.34
-0.0125  0.0725  0.31
-0.0125  0.0775  0.28
-0.0125  0.0825  0.22
-0.0125  0.0875  0.23
-0.0125  0.0925  0.24
-0.0125  0.0975  0.22
-0.0125  0.1025  0.23
-0.0125  0.1075  0.13
-0.0125  0.1125  0.2
-0.0125  0.1175  0.14
-0.0125  0.1225  0.14
-0.0125  0.1275  0.14
-0.0125  0.1325  0.13
-0.0125  0.1375  0.13
-0.0125  0.1425  0.12
-0.0125  0.1475  0.06
-0.0125  0.1525  0.09
-0.0125  0.1575  0.06
-0.0125  0.1625  0.04
-0.0125  0.1675  0.09
-0.0125  0.1725  0.05
-0.0125  0.1775  0.04
-0.0125  0.1825  0.04
-0.0125  0.1875  0.05
-0.0125  0.1925  0.04
-0.0125  0.1975  0.05
-0.0075  0.0175  0.72
-0.0075  0.0225  0.65
-0.0075  0.0275  0.62
-0.0075  0.0325  0.58
-0.0075  0.0375  0.49
-0.0075  0.0425  0.46
-0.0075  0.0475  0.4
-0.0075  0.0525  0.42
-0.0075  0.0575  0.41
-0.0075  0.0625  0.26
-0.0075  0.0675  0.34
-0.0075  0.0725  0.34
-0.0075  0.0775  0.29
-0.0075  0.0825  0.25
-0.0075  0.0875  0.21
-0.0075  0.0925  0.23
-0.0075  0.0975  0.19
-0.0075  0.1025  0.19
-0.0075  0.1075  0.17
-0.0075  0.1125  0.17
-0.0075  0.1175  0.17
-0.0075  0.1225  0.14
-0.0075  0.1275  0.12
-0.0075  0.1325  0.15
-0.0075  0.1375  0.12
-0.0075  0.1425  0.08
-0.0075  0.1475  0.07
-0.0075  0.1525  0.08
-0.0075  0.1575  0.1
-0.0075  0.1625  0.07
-0.0075  0.1675  0.08
-0.0075  0.1725  0.05
-0.0075  0.1775  0.06
-0.0075  0.1825  0.02
-0.0075  0.1875  0.05
-0.0075  0.1925  0.04
-0.0075  0.1975  0.03
-0.0025  0.0075  0.69
-0.0025  0.0125  0.67
-0.0025  0.0175  0.56
-0.0025  0.0225  0.57
-0.0025  0.0275  0.53
-0.0025  0.0325  0.47
-0.0025  0.0375  0.46
-0.0025  0.0425  0.4
-0.0025  0.0475  0.34
-0.0025  0.0525  0.41
-0.0025  0.0575  0.37
-0.0025  0.0625  0.36
-0.0025  0.0675  0.33
-0.0025  0.0725  0.33
-0.0025  0.0775  0.29
-0.0025  0.0825  0.25
-0.0025  0.0875  0.23
-0.0025  0.0925  0.22
-0.0025  0.0975  0.17
-0.0025  0.1025  0.19
-0.0025  0.1075  0.14
-0.0025  0.1125  0.11
-0.0025  0.1175  0.14
