%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 1.10 < q2 < 2.00 GeV^{2}/c^{4}

# AFB     FH   p-value
-0.12375  0.265  0.01
-0.12375  0.385  0.01
-0.11625  0.235  0.01
-0.10875  0.225  0.01
-0.10875  0.245  0.01
-0.10875  0.265  0.01
-0.10875  0.325  0.01
-0.10875  0.365  0.01
-0.10875  0.375  0.01
-0.10125  0.205  0.01
-0.10125  0.235  0.01
-0.10125  0.255  0.01
-0.10125  0.265  0.01
-0.10125  0.275  0.01
-0.10125  0.295  0.01
-0.10125  0.335  0.01
-0.10125  0.385  0.01
-0.09375  0.205  0.01
-0.09375  0.225  0.01
-0.09375  0.235  0.01
-0.09375  0.245  0.01
-0.09375  0.255  0.02
-0.09375  0.295  0.01
-0.09375  0.305  0.01
-0.09375  0.325  0.01
-0.09375  0.345  0.01
-0.09375  0.355  0.01
-0.09375  0.375  0.01
-0.08625  0.175  0.01
-0.08625  0.185  0.01
-0.08625  0.205  0.02
-0.08625  0.215  0.02
-0.08625  0.255  0.01
-0.08625  0.265  0.01
-0.08625  0.275  0.01
-0.08625  0.295  0.02
-0.08625  0.305  0.01
-0.08625  0.325  0.01
-0.08625  0.375  0.02
-0.07875  0.165  0.02
-0.07875  0.185  0.01
-0.07875  0.195  0.01
-0.07875  0.205  0.02
-0.07875  0.215  0.01
-0.07875  0.225  0.01
-0.07875  0.235  0.01
-0.07875  0.265  0.01
-0.07875  0.315  0.01
-0.07875  0.325  0.01
-0.07875  0.345  0.01
-0.07125  0.145  0.02
-0.07125  0.155  0.03
-0.07125  0.165  0.02
-0.07125  0.175  0.02
-0.07125  0.185  0.02
-0.07125  0.195  0.01
-0.07125  0.205  0.02
-0.07125  0.215  0.02
-0.07125  0.225  0.01
-0.07125  0.235  0.01
-0.07125  0.245  0.01
-0.07125  0.265  0.02
-0.07125  0.275  0.01
-0.07125  0.285  0.01
-0.07125  0.345  0.01
-0.07125  0.375  0.01
-0.07125  0.385  0.01
-0.06375  0.135  0.03
-0.06375  0.145  0.04
-0.06375  0.155  0.02
-0.06375  0.165  0.03
-0.06375  0.175  0.01
-0.06375  0.185  0.02
-0.06375  0.195  0.03
-0.06375  0.205  0.02
-0.06375  0.215  0.03
-0.06375  0.225  0.02
-0.06375  0.245  0.01
-0.06375  0.255  0.01
-0.06375  0.275  0.01
-0.06375  0.285  0.01
-0.06375  0.295  0.01
-0.06375  0.315  0.02
-0.06375  0.325  0.01
-0.06375  0.335  0.01
-0.06375  0.345  0.01
-0.06375  0.355  0.01
-0.06375  0.365  0.01
-0.06375  0.395  0.01
-0.05625  0.115  0.03
-0.05625  0.125  0.03
-0.05625  0.135  0.02
-0.05625  0.145  0.03
-0.05625  0.155  0.02
-0.05625  0.165  0.03
-0.05625  0.175  0.02
-0.05625  0.185  0.02
-0.05625  0.195  0.02
-0.05625  0.205  0.04
-0.05625  0.215  0.01
-0.05625  0.225  0.02
-0.05625  0.235  0.02
-0.05625  0.245  0.03
-0.05625  0.255  0.01
-0.05625  0.265  0.01
-0.05625  0.275  0.01
-0.05625  0.285  0.01
-0.05625  0.295  0.01
-0.05625  0.305  0.02
-0.05625  0.325  0.02
-0.05625  0.355  0.02
-0.05625  0.365  0.01
-0.05625  0.375  0.01
-0.05625  0.395  0.01
-0.04875  0.105  0.05
-0.04875  0.115  0.05
-0.04875  0.125  0.08
-0.04875  0.135  0.04
-0.04875  0.145  0.05
-0.04875  0.155  0.03
-0.04875  0.165  0.03
-0.04875  0.175  0.04
-0.04875  0.185  0.03
-0.04875  0.195  0.02
-0.04875  0.205  0.04
-0.04875  0.215  0.03
-0.04875  0.225  0.03
-0.04875  0.235  0.02
-0.04875  0.245  0.01
-0.04875  0.255  0.02
-0.04875  0.265  0.02
-0.04875  0.275  0.03
-0.04875  0.295  0.01
-0.04875  0.305  0.01
-0.04875  0.315  0.02
-0.04875  0.325  0.01
-0.04875  0.335  0.02
-0.04875  0.345  0.01
-0.04875  0.355  0.01
-0.04875  0.375  0.01
-0.04125  0.085  0.08
-0.04125  0.095  0.09
-0.04125  0.105  0.08
-0.04125  0.115  0.08
-0.04125  0.125  0.07
-0.04125  0.135  0.02
-0.04125  0.145  0.05
-0.04125  0.155  0.06
-0.04125  0.165  0.04
-0.04125  0.175  0.05
-0.04125  0.185  0.04
-0.04125  0.195  0.04
-0.04125  0.205  0.05
-0.04125  0.215  0.02
-0.04125  0.225  0.04
-0.04125  0.235  0.03
-0.04125  0.245  0.03
-0.04125  0.255  0.01
-0.04125  0.265  0.02
-0.04125  0.275  0.03
-0.04125  0.285  0.02
-0.04125  0.295  0.03
-0.04125  0.305  0.03
-0.04125  0.315  0.02
-0.04125  0.325  0.02
-0.04125  0.345  0.01
-0.04125  0.355  0.02
-0.04125  0.385  0.01
-0.03375  0.075  0.12
-0.03375  0.085  0.1
-0.03375  0.095  0.08
-0.03375  0.105  0.1
-0.03375  0.115  0.1
-0.03375  0.125  0.07
-0.03375  0.135  0.07
-0.03375  0.145  0.08
-0.03375  0.155  0.05
-0.03375  0.165  0.07
-0.03375  0.175  0.05
-0.03375  0.185  0.07
-0.03375  0.195  0.03
-0.03375  0.205  0.04
-0.03375  0.215  0.04
-0.03375  0.225  0.05
-0.03375  0.235  0.03
-0.03375  0.245  0.03
-0.03375  0.255  0.04
-0.03375  0.265  0.03
-0.03375  0.275  0.02
-0.03375  0.285  0.03
-0.03375  0.295  0.04
-0.03375  0.305  0.02
-0.03375  0.315  0.02
-0.03375  0.325  0.03
-0.03375  0.335  0.03
-0.03375  0.345  0.01
-0.03375  0.355  0.01
-0.03375  0.365  0.01
-0.03375  0.375  0.01
-0.03375  0.385  0.01
-0.02625  0.055  0.11
-0.02625  0.065  0.15
-0.02625  0.075  0.14
-0.02625  0.085  0.11
-0.02625  0.095  0.1
-0.02625  0.105  0.11
-0.02625  0.115  0.13
-0.02625  0.125  0.1
-0.02625  0.135  0.11
-0.02625  0.145  0.09
-0.02625  0.155  0.07
-0.02625  0.165  0.04
-0.02625  0.175  0.07
-0.02625  0.185  0.06
-0.02625  0.195  0.05
-0.02625  0.205  0.05
-0.02625  0.215  0.06
-0.02625  0.225  0.01
-0.02625  0.235  0.04
-0.02625  0.245  0.08
-0.02625  0.255  0.05
-0.02625  0.265  0.01
-0.02625  0.275  0.02
-0.02625  0.285  0.03
-0.02625  0.295  0.02
-0.02625  0.305  0.05
-0.02625  0.315  0.02
-0.02625  0.325  0.02
-0.02625  0.335  0.01
-0.02625  0.345  0.02
-0.02625  0.355  0.01
-0.02625  0.365  0.02
-0.02625  0.375  0.02
-0.02625  0.385  0.01
-0.02625  0.395  0.01
-0.01875  0.045  0.17
-0.01875  0.055  0.22
-0.01875  0.065  0.17
-0.01875  0.075  0.16
-0.01875  0.085  0.17
-0.01875  0.095  0.15
-0.01875  0.105  0.12
-0.01875  0.115  0.12
-0.01875  0.125  0.13
-0.01875  0.135  0.1
-0.01875  0.145  0.14
-0.01875  0.155  0.11
-0.01875  0.165  0.11
-0.01875  0.175  0.08
-0.01875  0.185  0.09
-0.01875  0.195  0.07
-0.01875  0.205  0.08
-0.01875  0.215  0.07
-0.01875  0.225  0.09
-0.01875  0.235  0.05
-0.01875  0.245  0.06
-0.01875  0.255  0.06
-0.01875  0.265  0.05
-0.01875  0.275  0.04
-0.01875  0.285  0.04
-0.01875  0.295  0.05
-0.01875  0.305  0.02
-0.01875  0.315  0.02
-0.01875  0.325  0.03
-0.01875  0.335  0.03
-0.01875  0.345  0.02
-0.01875  0.355  0.02
-0.01875  0.365  0.02
-0.01875  0.375  0.01
-0.01875  0.385  0.01
-0.01125  0.025  0.26
-0.01125  0.035  0.27
-0.01125  0.045  0.26
-0.01125  0.055  0.18
-0.01125  0.065  0.23
-0.01125  0.075  0.18
-0.01125  0.085  0.16
-0.01125  0.095  0.14
-0.01125  0.105  0.15
-0.01125  0.115  0.11
-0.01125  0.125  0.18
-0.01125  0.135  0.12
-0.01125  0.145  0.12
-0.01125  0.155  0.15
-0.01125  0.165  0.12
-0.01125  0.175  0.13
-0.01125  0.185  0.08
-0.01125  0.195  0.15
-0.01125  0.205  0.09
-0.01125  0.215  0.08
-0.01125  0.225  0.04
-0.01125  0.235  0.1
-0.01125  0.245  0.04
-0.01125  0.255  0.08
-0.01125  0.265  0.06
-0.01125  0.275  0.04
-0.01125  0.285  0.03
-0.01125  0.295  0.03
-0.01125  0.305  0.03
-0.01125  0.315  0.04
-0.01125  0.325  0.04
-0.01125  0.335  0.04
-0.01125  0.345  0.02
-0.01125  0.355  0.02
-0.01125  0.365  0.04
-0.01125  0.375  0.02
-0.01125  0.385  0.01
-0.01125  0.395  0.04
-0.00375  0.015  0.32
-0.00375  0.025  0.34
-0.00375  0.035  0.3
-0.00375  0.045  0.39
-0.00375  0.055  0.3
-0.00375  0.065  0.33
-0.00375  0.075  0.28
-0.00375  0.085  0.23
-0.00375  0.095  0.25
-0.00375  0.105  0.23
-0.00375  0.115  0.25
-0.00375  0.125  0.24
-0.00375  0.135  0.17
-0.00375  0.145  0.24
-0.00375  0.155  0.2
-0.00375  0.165  0.16
-0.00375  0.175  0.13
-0.00375  0.185  0.14
-0.00375  0.195  0.17
-0.00375  0.205  0.14
-0.00375  0.215  0.11
-0.00375  0.225  0.1
-0.00375  0.235  0.16
-0.00375  0.245  0.1
-0.00375  0.255  0.08
-0.00375  0.265  0.11
-0.00375  0.275  0.05
-0.00375  0.285  0.04
-0.00375  0.295  0.07
-0.00375  0.305  0.05
-0.00375  0.315  0.04
-0.00375  0.325  0.06
-0.00375  0.335  0.04
-0.00375  0.345  0.04
-0.00375  0.355  0.01
-0.00375  0.365  0.03
-0.00375  0.375  0.02
-0.00375  0.385  0.02
-0.00375  0.395  0.03
0.00375  0.015  0.48
0.00375  0.025  0.47
0.00375  0.035  0.4
0.00375  0.045  0.45
0.00375  0.055  0.45
0.00375  0.065  0.37
0.00375  0.075  0.33
0.00375  0.085  0.35
0.00375  0.095  0.33
0.00375  0.105  0.32
0.00375  0.115  0.32
0.00375  0.125  0.31
0.00375  0.135  0.24
0.00375  0.145  0.29
0.00375  0.155  0.26
0.00375  0.165  0.23
0.00375  0.175  0.21
0.00375  0.185  0.24
0.00375  0.195  0.21
0.00375  0.205  0.09
0.00375  0.215  0.13
0.00375  0.225  0.14
0.00375  0.235  0.14
0.00375  0.245  0.1
0.00375  0.255  0.13
0.00375  0.265  0.07
0.00375  0.275  0.06
0.00375  0.285  0.12
0.00375  0.295  0.08
0.00375  0.305  0.08
0.00375  0.315  0.07
0.00375  0.325  0.04
0.00375  0.335  0.03
0.00375  0.345  0.03
0.00375  0.355  0.04
0.00375  0.365  0.04
0.00375  0.375  0.04
0.00375  0.385  0.03
0.00375  0.395  0.03
0.01125  0.025  0.58
0.01125  0.035  0.64
0.01125  0.045  0.54
0.01125  0.055  0.58
0.01125  0.065  0.59
0.01125  0.075  0.48
0.01125  0.085  0.45
0.01125  0.095  0.47
0.01125  0.105  0.46
0.01125  0.115  0.5
0.01125  0.125  0.4
0.01125  0.135  0.32
0.01125  0.145  0.31
0.01125  0.155  0.23
0.01125  0.165  0.2
0.01125  0.175  0.32
0.01125  0.185  0.22
0.01125  0.195  0.13
0.01125  0.205  0.19
0.01125  0.215  0.14
0.01125  0.225  0.11
0.01125  0.235  0.14
0.01125  0.245  0.19
0.01125  0.255  0.13
0.01125  0.265  0.08
0.01125  0.275  0.13
0.01125  0.285  0.1
0.01125  0.295  0.1
0.01125  0.305  0.07
0.01125  0.315  0.09
0.01125  0.325  0.07
0.01125  0.335  0.05
0.01125  0.345  0.04
0.01125  0.355  0.07
0.01125  0.365  0.07
0.01125  0.375  0.05
0.01125  0.385  0.03
0.01125  0.395  0.04
0.01875  0.045  0.75
0.01875  0.055  0.74
0.01875  0.065  0.61
0.01875  0.075  0.56
0.01875  0.085  0.58
0.01875  0.095  0.55
0.01875  0.105  0.5
0.01875  0.115  0.54
0.01875  0.125  0.41
0.01875  0.135  0.38
0.01875  0.145  0.36
0.01875  0.155  0.35
0.01875  0.165  0.3
0.01875  0.175  0.33
0.01875  0.185  0.3
0.01875  0.195  0.25
0.01875  0.205  0.21
0.01875  0.215  0.23
0.01875  0.225  0.22
0.01875  0.235  0.18
0.01875  0.245  0.15
0.01875  0.255  0.16
0.01875  0.265  0.14
0.01875  0.275  0.1
0.01875  0.285  0.1
0.01875  0.295  0.11
0.01875  0.305  0.09
0.01875  0.315  0.05
0.01875  0.325  0.06
0.01875  0.335  0.08
0.01875  0.345  0.04
0.01875  0.355  0.07
0.01875  0.365  0.05
0.01875  0.375  0.03
0.01875  0.385  0.04
0.01875  0.395  0.03
0.02625  0.055  0.83
0.02625  0.065  0.78
0.02625  0.075  0.69
0.02625  0.085  0.65
0.02625  0.095  0.62
0.02625  0.105  0.64
0.02625  0.115  0.54
0.02625  0.125  0.51
0.02625  0.135  0.49
0.02625  0.145  0.42
0.02625  0.155  0.38
0.02625  0.165  0.45
0.02625  0.175  0.35
0.02625  0.185  0.28
0.02625  0.195  0.29
0.02625  0.205  0.28
0.02625  0.215  0.19
0.02625  0.225  0.21
0.02625  0.235  0.2
0.02625  0.245  0.24
0.02625  0.255  0.17
0.02625  0.265  0.15
0.02625  0.275  0.18
0.02625  0.285  0.14
0.02625  0.295  0.13
0.02625  0.305  0.14
0.02625  0.315  0.08
0.02625  0.325  0.09
0.02625  0.335  0.09
0.02625  0.345  0.1
0.02625  0.355  0.03
0.02625  0.365  0.04
0.02625  0.375  0.04
0.02625  0.385  0.03
0.02625  0.395  0.03
0.03375  0.075  0.8
0.03375  0.085  0.8
0.03375  0.095  0.67
0.03375  0.105  0.64
0.03375  0.115  0.7
0.03375  0.125  0.62
0.03375  0.135  0.53
0.03375  0.145  0.53
0.03375  0.155  0.46
0.03375  0.165  0.43
0.03375  0.175  0.38
0.03375  0.185  0.38
0.03375  0.195  0.35
0.03375  0.205  0.23
0.03375  0.215  0.26
0.03375  0.225  0.3
0.03375  0.235  0.26
0.03375  0.245  0.2
0.03375  0.255  0.19
0.03375  0.265  0.15
0.03375  0.275  0.13
0.03375  0.285  0.13
0.03375  0.295  0.1
0.03375  0.305  0.13
0.03375  0.315  0.07
0.03375  0.325  0.09
0.03375  0.335  0.1
0.03375  0.345  0.03
0.03375  0.355  0.06
0.03375  0.365  0.06
0.03375  0.375  0.06
0.03375  0.385  0.03
0.03375  0.395  0.02
0.04125  0.085  0.9
0.04125  0.095  0.83
0.04125  0.105  0.83
0.04125  0.115  0.66
0.04125  0.125  0.72
0.04125  0.135  0.64
0.04125  0.145  0.57
0.04125  0.155  0.52
0.04125  0.165  0.45
0.04125  0.175  0.44
0.04125  0.185  0.39
0.04125  0.195  0.34
0.04125  0.205  0.33
0.04125  0.215  0.34
0.04125  0.225  0.29
0.04125  0.235  0.23
0.04125  0.245  0.24
0.04125  0.255  0.17
0.04125  0.265  0.27
0.04125  0.275  0.21
0.04125  0.285  0.13
0.04125  0.295  0.14
0.04125  0.305  0.11
0.04125  0.315  0.09
0.04125  0.325  0.1
0.04125  0.335  0.1
0.04125  0.345  0.1
0.04125  0.355  0.07
0.04125  0.365  0.09
0.04125  0.375  0.07
0.04125  0.385  0.05
0.04125  0.395  0.04
0.04875  0.105  0.89
0.04875  0.115  0.84
0.04875  0.125  0.76
0.04875  0.135  0.72
0.04875  0.145  0.68
0.04875  0.155  0.55
0.04875  0.165  0.58
0.04875  0.175  0.47
0.04875  0.185  0.43
0.04875  0.195  0.37
0.04875  0.205  0.42
0.04875  0.215  0.33
0.04875  0.225  0.33
0.04875  0.235  0.27
0.04875  0.245  0.27
0.04875  0.255  0.29
0.04875  0.265  0.18
0.04875  0.275  0.21
0.04875  0.285  0.19
0.04875  0.295  0.14
0.04875  0.305  0.12
0.04875  0.315  0.11
0.04875  0.325  0.14
0.04875  0.335  0.07
0.04875  0.345  0.08
0.04875  0.355  0.05
0.04875  0.365  0.07
0.04875  0.375  0.05
0.04875  0.385  0.06
0.04875  0.395  0.07
0.05625  0.115  0.92
0.05625  0.125  0.87
0.05625  0.135  0.79
0.05625  0.145  0.7
0.05625  0.155  0.66
0.05625  0.165  0.59
0.05625  0.175  0.59
0.05625  0.185  0.54
0.05625  0.195  0.44
0.05625  0.205  0.4
0.05625  0.215  0.39
0.05625  0.225  0.41
0.05625  0.235  0.29
0.05625  0.245  0.34
0.05625  0.255  0.25
0.05625  0.265  0.22
0.05625  0.275  0.24
0.05625  0.285  0.21
0.05625  0.295  0.17
0.05625  0.305  0.12
0.05625  0.315  0.1
0.05625  0.325  0.1
0.05625  0.335  0.08
0.05625  0.345  0.08
0.05625  0.355  0.12
0.05625  0.365  0.09
0.05625  0.375  0.05
0.05625  0.385  0.03
0.05625  0.395  0.03
0.06375  0.135  0.84
0.06375  0.145  0.74
0.06375  0.155  0.68
0.06375  0.165  0.63
0.06375  0.175  0.66
0.06375  0.185  0.51
0.06375  0.195  0.47
0.06375  0.205  0.43
0.06375  0.215  0.39
0.06375  0.225  0.32
0.06375  0.235  0.31
0.06375  0.245  0.23
0.06375  0.255  0.27
0.06375  0.265  0.32
0.06375  0.275  0.23
0.06375  0.285  0.2
0.06375  0.295  0.13
0.06375  0.305  0.17
0.06375  0.315  0.17
0.06375  0.325  0.1
0.06375  0.335  0.12
0.06375  0.345  0.07
0.06375  0.355  0.1
0.06375  0.365  0.09
0.06375  0.375  0.05
0.06375  0.385  0.08
0.06375  0.395  0.04
0.07125  0.145  0.82
0.07125  0.155  0.74
0.07125  0.165  0.64
0.07125  0.175  0.63
0.07125  0.185  0.57
0.07125  0.195  0.51
0.07125  0.205  0.47
0.07125  0.215  0.4
0.07125  0.225  0.42
0.07125  0.235  0.38
0.07125  0.245  0.35
0.07125  0.255  0.26
0.07125  0.265  0.3
0.07125  0.275  0.2
0.07125  0.285  0.24
0.07125  0.295  0.14
0.07125  0.305  0.14
0.07125  0.315  0.18
0.07125  0.325  0.15
0.07125  0.335  0.11
0.07125  0.345  0.09
0.07125  0.355  0.11
0.07125  0.365  0.05
0.07125  0.375  0.08
0.07125  0.385  0.06
0.07125  0.395  0.05
0.07875  0.165  0.73
0.07875  0.175  0.63
0.07875  0.185  0.64
0.07875  0.195  0.6
0.07875  0.205  0.45
0.07875  0.215  0.45
0.07875  0.225  0.39
0.07875  0.235  0.38
0.07875  0.245  0.32
0.07875  0.255  0.29
0.07875  0.265  0.29
0.07875  0.275  0.29
0.07875  0.285  0.2
0.07875  0.295  0.22
0.07875  0.305  0.18
0.07875  0.315  0.21
0.07875  0.325  0.12
0.07875  0.335  0.11
0.07875  0.345  0.11
0.07875  0.355  0.07
0.07875  0.365  0.13
0.07875  0.375  0.05
0.07875  0.385  0.08
0.07875  0.395  0.05
0.08625  0.175  0.69
0.08625  0.185  0.57
0.08625  0.195  0.53
0.08625  0.205  0.5
0.08625  0.215  0.49
0.08625  0.225  0.35
0.08625  0.235  0.4
0.08625  0.245  0.35
0.08625  0.255  0.34
0.08625  0.265  0.31
0.08625  0.275  0.34
0.08625  0.285  0.24
0.08625  0.295  0.16
0.08625  0.305  0.19
0.08625  0.315  0.16
0.08625  0.325  0.17
0.08625  0.335  0.17
0.08625  0.345  0.1
0.08625  0.355  0.09
0.08625  0.365  0.1
0.08625  0.375  0.08
0.08625  0.385  0.11
0.08625  0.395  0.06
0.09375  0.195  0.59
0.09375  0.205  0.52
0.09375  0.215  0.44
0.09375  0.225  0.45
0.09375  0.235  0.42
0.09375  0.245  0.36
0.09375  0.255  0.34
0.09375  0.265  0.3
0.09375  0.275  0.27
0.09375  0.285  0.21
0.09375  0.295  0.22
0.09375  0.305  0.2
0.09375  0.315  0.15
0.09375  0.325  0.13
0.09375  0.335  0.21
0.09375  0.345  0.1
0.09375  0.355  0.13
0.09375  0.365  0.11
0.09375  0.375  0.1
0.09375  0.385  0.09
0.09375  0.395  0.05
0.10125  0.205  0.47
0.10125  0.215  0.41
0.10125  0.225  0.51
0.10125  0.235  0.41
0.10125  0.245  0.29
0.10125  0.255  0.33
0.10125  0.265  0.33
0.10125  0.275  0.28
0.10125  0.285  0.23
0.10125  0.295  0.27
0.10125  0.305  0.18
0.10125  0.315  0.15
0.10125  0.325  0.18
0.10125  0.335  0.14
0.10125  0.345  0.13
0.10125  0.355  0.09
0.10125  0.365  0.09
0.10125  0.375  0.04
0.10125  0.385  0.03
0.10125  0.395  0.03
0.10875  0.225  0.43
0.10875  0.235  0.43
0.10875  0.245  0.36
0.10875  0.255  0.3
0.10875  0.265  0.27
0.10875  0.275  0.23
0.10875  0.285  0.16
0.10875  0.295  0.17
0.10875  0.305  0.23
0.10875  0.315  0.21
0.10875  0.325  0.16
0.10875  0.335  0.14
0.10875  0.345  0.18
0.10875  0.355  0.1
0.10875  0.365  0.11
0.10875  0.375  0.08
0.10875  0.385  0.08
0.10875  0.395  0.04
0.11625  0.235  0.46
0.11625  0.245  0.33
0.11625  0.255  0.37
0.11625  0.265  0.27
0.11625  0.275  0.29
0.11625  0.285  0.28
0.11625  0.295  0.24
0.11625  0.305  0.2
0.11625  0.315  0.15
0.11625  0.325  0.16
0.11625  0.335  0.13
0.11625  0.345  0.16
0.11625  0.355  0.14
0.11625  0.365  0.11
0.11625  0.375  0.09
0.11625  0.385  0.04
0.11625  0.395  0.08
0.12375  0.255  0.35
0.12375  0.265  0.26
0.12375  0.275  0.24
0.12375  0.285  0.28
0.12375  0.295  0.21
0.12375  0.305  0.2
0.12375  0.315  0.18
0.12375  0.325  0.12
0.12375  0.335  0.2
0.12375  0.345  0.13
0.12375  0.355  0.1
0.12375  0.365  0.1
0.12375  0.375  0.11
0.12375  0.385  0.08
0.12375  0.395  0.08
0.13125  0.265  0.31
0.13125  0.275  0.25
0.13125  0.285  0.23
0.13125  0.295  0.2
0.13125  0.305  0.22
0.13125  0.315  0.21
0.13125  0.325  0.14
0.13125  0.335  0.14
0.13125  0.345  0.16
0.13125  0.355  0.15
0.13125  0.365  0.09
0.13125  0.375  0.12
0.13125  0.385  0.05
0.13125  0.395  0.05
0.13875  0.285  0.26
0.13875  0.295  0.2
0.13875  0.305  0.17
0.13875  0.315  0.16
0.13875  0.325  0.15
0.13875  0.335  0.14
0.13875  0.345  0.16
0.13875  0.355  0.1
0.13875  0.365  0.08
0.13875  0.375  0.07
0.13875  0.385  0.06
0.13875  0.395  0.07
0.14625  0.295  0.17
0.14625  0.305  0.16
0.14625  0.315  0.16
0.14625  0.325  0.14
0.14625  0.335  0.09
0.14625  0.345  0.1
0.14625  0.355  0.09
0.14625  0.365  0.08
0.14625  0.375  0.08
0.14625  0.385  0.1
0.14625  0.395  0.05
