%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 16.00 < q2 < 17.00 GeV^{2}/c^{4}

# AFB     FH   p-value
-0.117  0.23625  0.01
-0.117  0.24675  0.03
-0.117  0.25725  0.01
-0.117  0.26775  0.0
-0.117  0.28875  0.01
-0.117  0.29925  0.0
-0.117  0.32025  0.0
-0.117  0.35175  0.0
-0.117  0.36225  0.0
-0.117  0.38325  0.0
-0.111  0.22575  0.01
-0.111  0.23625  0.05
-0.111  0.24675  0.03
-0.111  0.25725  0.02
-0.111  0.26775  0.01
-0.111  0.27825  0.01
-0.111  0.29925  0.01
-0.111  0.30975  0.01
-0.111  0.32025  0.0
-0.111  0.33075  0.0
-0.111  0.34125  0.01
-0.111  0.36225  0.0
-0.105  0.21525  0.04
-0.105  0.22575  0.05
-0.105  0.23625  0.04
-0.105  0.24675  0.05
-0.105  0.25725  0.0
-0.105  0.26775  0.03
-0.105  0.27825  0.04
-0.105  0.28875  0.02
-0.105  0.29925  0.02
-0.105  0.30975  0.02
-0.105  0.32025  0.01
-0.105  0.33075  0.01
-0.105  0.34125  0.01
-0.099  0.20475  0.08
-0.099  0.21525  0.07
-0.099  0.22575  0.07
-0.099  0.23625  0.08
-0.099  0.24675  0.02
-0.099  0.25725  0.03
-0.099  0.26775  0.03
-0.099  0.27825  0.03
-0.099  0.28875  0.0
-0.099  0.29925  0.01
-0.099  0.30975  0.01
-0.099  0.32025  0.02
-0.099  0.33075  0.01
-0.099  0.34125  0.0
-0.099  0.35175  0.0
-0.099  0.36225  0.01
-0.099  0.40425  0.0
-0.099  0.41475  0.0
-0.093  0.19425  0.08
-0.093  0.20475  0.12
-0.093  0.21525  0.06
-0.093  0.22575  0.06
-0.093  0.23625  0.09
-0.093  0.24675  0.05
-0.093  0.25725  0.05
-0.093  0.26775  0.03
-0.093  0.27825  0.05
-0.093  0.28875  0.01
-0.093  0.29925  0.01
-0.093  0.30975  0.01
-0.093  0.32025  0.02
-0.093  0.33075  0.01
-0.093  0.34125  0.01
-0.093  0.35175  0.01
-0.093  0.38325  0.0
-0.093  0.39375  0.0
-0.087  0.18375  0.09
-0.087  0.19425  0.1
-0.087  0.20475  0.12
-0.087  0.21525  0.06
-0.087  0.22575  0.1
-0.087  0.23625  0.05
-0.087  0.24675  0.07
-0.087  0.25725  0.05
-0.087  0.26775  0.04
-0.087  0.27825  0.05
-0.087  0.28875  0.04
-0.087  0.29925  0.02
