%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 6.00 < q2 < 7.00 GeV^{2}/c^{4}

# AFB     FH   p-value
-0.0975  0.21375  0.01
-0.0975  0.27375  0.01
-0.0975  0.28125  0.01
-0.0925  0.19875  0.01
-0.0925  0.21375  0.01
-0.0925  0.22125  0.01
-0.0925  0.23625  0.01
-0.0925  0.26625  0.01
-0.0925  0.27375  0.01
-0.0875  0.18375  0.01
-0.0875  0.19875  0.01
-0.0875  0.21375  0.01
-0.0875  0.22125  0.01
-0.0875  0.29625  0.01
-0.0825  0.17625  0.01
-0.0825  0.18375  0.01
-0.0825  0.19125  0.01
-0.0825  0.19875  0.01
-0.0825  0.21375  0.01
-0.0825  0.22125  0.01
-0.0825  0.22875  0.01
-0.0825  0.24375  0.01
-0.0825  0.25875  0.01
-0.0825  0.29625  0.01
-0.0775  0.16125  0.01
-0.0775  0.16875  0.02
-0.0775  0.17625  0.01
-0.0775  0.18375  0.01
-0.0775  0.19875  0.01
-0.0775  0.21375  0.01
-0.0775  0.22125  0.01
-0.0775  0.22875  0.01
-0.0775  0.24375  0.01
-0.0775  0.27375  0.01
-0.0725  0.14625  0.02
-0.0725  0.15375  0.01
-0.0725  0.16125  0.01
-0.0725  0.16875  0.01
-0.0725  0.17625  0.01
-0.0725  0.18375  0.01
-0.0725  0.20625  0.01
-0.0725  0.21375  0.01
-0.0725  0.22125  0.01
-0.0725  0.22875  0.01
-0.0725  0.25875  0.01
-0.0725  0.28875  0.01
-0.0675  0.13875  0.02
-0.0675  0.14625  0.02
-0.0675  0.15375  0.02
-0.0675  0.16125  0.04
-0.0675  0.16875  0.02
-0.0675  0.18375  0.02
-0.0675  0.19125  0.01
-0.0675  0.19875  0.01
-0.0675  0.20625  0.01
-0.0675  0.22125  0.01
-0.0675  0.22875  0.01
-0.0675  0.23625  0.01
-0.0675  0.24375  0.01
-0.0675  0.25125  0.01
-0.0675  0.28125  0.01
-0.0675  0.28875  0.01
-0.0625  0.13125  0.05
-0.0625  0.13875  0.06
-0.0625  0.14625  0.02
-0.0625  0.15375  0.03
-0.0625  0.16125  0.02
-0.0625  0.16875  0.03
-0.0625  0.17625  0.04
-0.0625  0.18375  0.03
-0.0625  0.19125  0.01
-0.0625  0.20625  0.01
-0.0625  0.22125  0.01
-0.0625  0.22875  0.01
-0.0625  0.23625  0.01
-0.0625  0.25125  0.01
-0.0625  0.26625  0.01
-0.0625  0.29625  0.01
-0.0575  0.11625  0.06
-0.0575  0.12375  0.03
-0.0575  0.13125  0.03
-0.0575  0.13875  0.04
-0.0575  0.14625  0.02
-0.0575  0.15375  0.03
-0.0575  0.16125  0.03
-0.0575  0.16875  0.01
-0.0575  0.17625  0.01
-0.0575  0.18375  0.01
-0.0575  0.19125  0.01
-0.0575  0.20625  0.02
-0.0575  0.21375  0.01
-0.0575  0.22125  0.02
-0.0575  0.24375  0.01
-0.0575  0.25125  0.01
-0.0575  0.25875  0.01
-0.0575  0.26625  0.01
-0.0575  0.27375  0.01
-0.0525  0.10875  0.08
-0.0525  0.11625  0.03
-0.0525  0.12375  0.07
-0.0525  0.13125  0.04
-0.0525  0.13875  0.02
-0.0525  0.14625  0.06
-0.0525  0.15375  0.06
-0.0525  0.16125  0.04
-0.0525  0.16875  0.03
-0.0525  0.17625  0.02
-0.0525  0.18375  0.03
-0.0525  0.19125  0.03
-0.0525  0.19875  0.02
-0.0525  0.20625  0.01
-0.0525  0.21375  0.01
-0.0525  0.22125  0.01
-0.0525  0.22875  0.01
-0.0525  0.23625  0.01
-0.0525  0.24375  0.01
-0.0525  0.25125  0.01
-0.0525  0.25875  0.01
-0.0525  0.26625  0.01
-0.0525  0.29625  0.01
-0.0475  0.10125  0.06
-0.0475  0.10875  0.04
-0.0475  0.11625  0.07
-0.0475  0.12375  0.05
-0.0475  0.13125  0.05
-0.0475  0.13875  0.03
-0.0475  0.14625  0.05
-0.0475  0.15375  0.04
-0.0475  0.16125  0.01
-0.0475  0.16875  0.03
-0.0475  0.17625  0.02
-0.0475  0.18375  0.03
-0.0475  0.19125  0.02
