%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 0.10 < q2 < 0.98 GeV^{2}/c^{4}

# AFB     FH   p-value
-0.147125  0.295  0.07
-0.147125  0.305  0.05
-0.147125  0.315  0.05
-0.147125  0.325  0.06
-0.147125  0.335  0.02
-0.147125  0.345  0.03
-0.147125  0.355  0.04
-0.147125  0.365  0.06
-0.147125  0.375  0.02
-0.147125  0.385  0.02
-0.147125  0.395  0.02
-0.141375  0.285  0.11
-0.141375  0.295  0.08
-0.141375  0.305  0.07
-0.141375  0.315  0.07
-0.141375  0.325  0.07
-0.141375  0.335  0.04
-0.141375  0.345  0.03
-0.141375  0.355  0.03
-0.141375  0.365  0.09
-0.141375  0.375  0.04
-0.141375  0.385  0.05
-0.141375  0.395  0.01
-0.135625  0.275  0.09
-0.135625  0.285  0.08
-0.135625  0.295  0.08
-0.135625  0.305  0.09
-0.135625  0.315  0.06
-0.135625  0.325  0.08
-0.135625  0.335  0.1
-0.135625  0.345  0.05
-0.135625  0.355  0.06
-0.135625  0.365  0.06
-0.135625  0.375  0.02
-0.135625  0.385  0.03
-0.135625  0.395  0.05
-0.129875  0.265  0.13
-0.129875  0.275  0.11
-0.129875  0.285  0.11
-0.129875  0.295  0.13
-0.129875  0.305  0.08
-0.129875  0.315  0.09
-0.129875  0.325  0.07
-0.129875  0.335  0.09
-0.129875  0.345  0.06
-0.129875  0.355  0.04
-0.129875  0.365  0.04
-0.129875  0.375  0.04
-0.129875  0.385  0.04
-0.129875  0.395  0.05
-0.124125  0.255  0.16
-0.124125  0.265  0.12
-0.124125  0.275  0.13
-0.124125  0.285  0.12
-0.124125  0.295  0.13
-0.124125  0.305  0.1
-0.124125  0.315  0.09
-0.124125  0.325  0.06
-0.124125  0.335  0.1
-0.124125  0.345  0.07
-0.124125  0.355  0.07
-0.124125  0.365  0.07
-0.124125  0.375  0.06
-0.124125  0.385  0.06
-0.124125  0.395  0.04
-0.118375  0.245  0.17
-0.118375  0.255  0.16
-0.118375  0.265  0.17
-0.118375  0.275  0.14
-0.118375  0.285  0.17
-0.118375  0.295  0.14
-0.118375  0.305  0.11
-0.118375  0.315  0.11
-0.118375  0.325  0.09
-0.118375  0.335  0.1
-0.118375  0.345  0.08
-0.118375  0.355  0.09
-0.118375  0.365  0.08
-0.118375  0.375  0.03
-0.118375  0.385  0.05
-0.118375  0.395  0.03
-0.112625  0.235  0.24
-0.112625  0.245  0.18
-0.112625  0.255  0.21
-0.112625  0.265  0.2
-0.112625  0.275  0.17
-0.112625  0.285  0.16
-0.112625  0.295  0.14
-0.112625  0.305  0.14
-0.112625  0.315  0.12
-0.112625  0.325  0.11
-0.112625  0.335  0.08
-0.112625  0.345  0.11
-0.112625  0.355  0.12
-0.112625  0.365  0.13
-0.112625  0.375  0.04
-0.112625  0.385  0.05
-0.112625  0.395  0.05
-0.106875  0.215  0.25
-0.106875  0.225  0.26
-0.106875  0.235  0.21
-0.106875  0.245  0.25
-0.106875  0.255  0.24
-0.106875  0.265  0.22
-0.106875  0.275  0.18
-0.106875  0.285  0.17
-0.106875  0.295  0.19
-0.106875  0.305  0.15
-0.106875  0.315  0.18
-0.106875  0.325  0.11
-0.106875  0.335  0.12
-0.106875  0.345  0.11
-0.106875  0.355  0.1
-0.106875  0.365  0.09
-0.106875  0.375  0.08
-0.106875  0.385  0.1
-0.106875  0.395  0.05
-0.101125  0.205  0.32
-0.101125  0.215  0.33
-0.101125  0.225  0.29
-0.101125  0.235  0.25
-0.101125  0.245  0.29
-0.101125  0.255  0.26
-0.101125  0.265  0.22
-0.101125  0.275  0.22
-0.101125  0.285  0.22
-0.101125  0.295  0.18
-0.101125  0.305  0.2
-0.101125  0.315  0.15
-0.101125  0.325  0.15
-0.101125  0.335  0.14
-0.101125  0.345  0.11
-0.101125  0.355  0.07
-0.101125  0.365  0.09
-0.101125  0.375  0.06
-0.101125  0.385  0.07
-0.101125  0.395  0.09
-0.095375  0.195  0.38
-0.095375  0.205  0.38
-0.095375  0.215  0.37
-0.095375  0.225  0.37
-0.095375  0.235  0.3
-0.095375  0.245  0.31
-0.095375  0.255  0.33
-0.095375  0.265  0.28
-0.095375  0.275  0.25
-0.095375  0.285  0.23
-0.095375  0.295  0.22
-0.095375  0.305  0.14
-0.095375  0.315  0.17
-0.095375  0.325  0.15
-0.095375  0.335  0.13
-0.095375  0.345  0.1
-0.095375  0.355  0.1
