%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 19.00 < q2 < 20.00 GeV^{2}/c^{4}

# AFB     FH   p-value
-0.14625  0.29625  0.0
-0.13875  0.28125  0.0
-0.12375  0.28125  0.0
-0.11625  0.24375  0.0
-0.11625  0.25875  0.0
-0.11625  0.28875  0.0
-0.10875  0.22125  0.01
-0.10875  0.22875  0.01
-0.10875  0.23625  0.03
-0.10875  0.24375  0.0
-0.10875  0.25125  0.0
-0.10875  0.25875  0.0
-0.10875  0.27375  0.01
-0.10875  0.28125  0.01
-0.10125  0.20625  0.0
-0.10125  0.22125  0.01
-0.10125  0.22875  0.01
-0.10125  0.24375  0.0
-0.10125  0.25125  0.01
-0.10125  0.25875  0.0
-0.10125  0.26625  0.01
-0.10125  0.27375  0.0
-0.10125  0.28875  0.01
-0.09375  0.19125  0.02
-0.09375  0.19875  0.01
-0.09375  0.20625  0.01
-0.09375  0.22125  0.01
-0.09375  0.22875  0.0
-0.09375  0.23625  0.0
-0.09375  0.24375  0.01
-0.09375  0.25125  0.01
-0.09375  0.27375  0.0
-0.09375  0.28875  0.0
-0.09375  0.29625  0.01
-0.08625  0.17625  0.01
-0.08625  0.18375  0.01
-0.08625  0.19875  0.02
-0.08625  0.20625  0.01
-0.08625  0.21375  0.0
-0.08625  0.22125  0.03
-0.08625  0.22875  0.0
-0.08625  0.23625  0.0
-0.08625  0.24375  0.01
-0.08625  0.25125  0.01
-0.08625  0.25875  0.01
-0.08625  0.26625  0.0
-0.08625  0.28125  0.01
-0.08625  0.28875  0.0
-0.08625  0.29625  0.03
-0.07875  0.16125  0.03
-0.07875  0.16875  0.03
-0.07875  0.17625  0.02
-0.07875  0.18375  0.02
-0.07875  0.19125  0.01
-0.07875  0.19875  0.01
-0.07875  0.21375  0.0
-0.07875  0.22125  0.04
-0.07875  0.22875  0.01
-0.07875  0.24375  0.0
-0.07875  0.25125  0.01
-0.07875  0.26625  0.01
-0.07875  0.27375  0.01
-0.07875  0.28125  0.01
-0.07875  0.28875  0.0
-0.07875  0.29625  0.0
-0.07125  0.14625  0.02
-0.07125  0.15375  0.04
-0.07125  0.16125  0.03
-0.07125  0.16875  0.05
-0.07125  0.17625  0.04
-0.07125  0.18375  0.01
-0.07125  0.19125  0.01
-0.07125  0.19875  0.01
-0.07125  0.20625  0.02
-0.07125  0.21375  0.02
-0.07125  0.22125  0.0
-0.07125  0.22875  0.0
-0.07125  0.23625  0.01
-0.07125  0.24375  0.02
-0.07125  0.25125  0.02
-0.07125  0.25875  0.01
-0.07125  0.26625  0.03
-0.07125  0.27375  0.01
-0.07125  0.28875  0.01
-0.06375  0.13125  0.05
-0.06375  0.13875  0.05
-0.06375  0.14625  0.04
-0.06375  0.15375  0.04
-0.06375  0.16125  0.04
-0.06375  0.16875  0.05
-0.06375  0.17625  0.04
-0.06375  0.18375  0.03
-0.06375  0.19125  0.03
-0.06375  0.19875  0.04
-0.06375  0.20625  0.03
-0.06375  0.21375  0.01
-0.06375  0.22125  0.02
-0.06375  0.22875  0.03
-0.06375  0.23625  0.01
-0.06375  0.24375  0.01
-0.06375  0.25125  0.0
-0.06375  0.25875  0.02
-0.06375  0.26625  0.01
-0.06375  0.27375  0.01
-0.06375  0.28125  0.02
-0.06375  0.28875  0.0
-0.06375  0.29625  0.01
-0.05625  0.11625  0.08
-0.05625  0.12375  0.1
-0.05625  0.13125  0.05
-0.05625  0.13875  0.05
-0.05625  0.14625  0.04
-0.05625  0.15375  0.05
-0.05625  0.16125  0.05
-0.05625  0.16875  0.03
-0.05625  0.17625  0.04
-0.05625  0.18375  0.03
-0.05625  0.19125  0.03
-0.05625  0.19875  0.04
-0.05625  0.20625  0.03
-0.05625  0.21375  0.04
-0.05625  0.22125  0.01
-0.05625  0.22875  0.03
-0.05625  0.23625  0.01
-0.05625  0.24375  0.01
-0.05625  0.25125  0.03
-0.05625  0.25875  0.01
-0.05625  0.26625  0.01
-0.05625  0.27375  0.0
-0.05625  0.28125  0.0
-0.05625  0.28875  0.03
-0.04875  0.10125  0.14
-0.04875  0.10875  0.08
-0.04875  0.11625  0.06
-0.04875  0.12375  0.08
-0.04875  0.13125  0.06
-0.04875  0.13875  0.06
-0.04875  0.14625  0.12
-0.04875  0.15375  0.05
-0.04875  0.16125  0.03
-0.04875  0.16875  0.02
-0.04875  0.17625  0.06
-0.04875  0.18375  0.05
-0.04875  0.19125  0.04
-0.04875  0.19875  0.04
-0.04875  0.20625  0.05
-0.04875  0.21375  0.03
-0.04875  0.22125  0.04
-0.04875  0.22875  0.01
-0.04875  0.23625  0.03
-0.04875  0.24375  0.03
-0.04875  0.25125  0.01
-0.04875  0.25875  0.05
-0.04875  0.26625  0.01
-0.04875  0.28125  0.0
-0.04875  0.28875  0.04
-0.04875  0.29625  0.01
-0.04125  0.08625  0.12
-0.04125  0.09375  0.08
-0.04125  0.10125  0.06
-0.04125  0.10875  0.11
-0.04125  0.11625  0.1
-0.04125  0.12375  0.1
-0.04125  0.13125  0.11
-0.04125  0.13875  0.08
-0.04125  0.14625  0.06
-0.04125  0.15375  0.09
-0.04125  0.16125  0.06
-0.04125  0.16875  0.06
-0.04125  0.17625  0.05
-0.04125  0.18375  0.03
-0.04125  0.19125  0.04
-0.04125  0.19875  0.02
-0.04125  0.20625  0.06
-0.04125  0.21375  0.04
-0.04125  0.22125  0.03
-0.04125  0.22875  0.04
-0.04125  0.23625  0.04
-0.04125  0.24375  0.03
-0.04125  0.25125  0.04
-0.04125  0.25875  0.03
-0.04125  0.26625  0.03
-0.04125  0.27375  0.01
-0.04125  0.28125  0.0
-0.04125  0.28875  0.03
-0.04125  0.29625  0.0
-0.03375  0.07125  0.18
-0.03375  0.07875  0.14
-0.03375  0.08625  0.12
-0.03375  0.09375  0.14
-0.03375  0.10125  0.14
-0.03375  0.10875  0.08
-0.03375  0.11625  0.09
-0.03375  0.12375  0.17
-0.03375  0.13125  0.1
-0.03375  0.13875  0.09
-0.03375  0.14625  0.08
-0.03375  0.15375  0.09
-0.03375  0.16125  0.09
-0.03375  0.16875  0.09
-0.03375  0.17625  0.06
-0.03375  0.18375  0.07
-0.03375  0.19125  0.06
-0.03375  0.19875  0.05
-0.03375  0.20625  0.05
-0.03375  0.21375  0.07
-0.03375  0.22125  0.05
-0.03375  0.22875  0.07
-0.03375  0.23625  0.01
-0.03375  0.24375  0.05
-0.03375  0.25125  0.03
-0.03375  0.25875  0.03
-0.03375  0.26625  0.05
-0.03375  0.27375  0.02
-0.03375  0.28125  0.02
-0.03375  0.28875  0.01
-0.03375  0.29625  0.03
-0.02625  0.05625  0.26
-0.02625  0.06375  0.2
-0.02625  0.07125  0.19
-0.02625  0.07875  0.19
-0.02625  0.08625  0.16
-0.02625  0.09375  0.14
-0.02625  0.10125  0.17
-0.02625  0.10875  0.16
-0.02625  0.11625  0.18
-0.02625  0.12375  0.16
-0.02625  0.13125  0.13
-0.02625  0.13875  0.1
-0.02625  0.14625  0.12
-0.02625  0.15375  0.08
-0.02625  0.16125  0.09
-0.02625  0.16875  0.12
-0.02625  0.17625  0.06
-0.02625  0.18375  0.05
-0.02625  0.19125  0.06
-0.02625  0.19875  0.07
-0.02625  0.20625  0.08
-0.02625  0.21375  0.03
-0.02625  0.22125  0.03
-0.02625  0.22875  0.03
-0.02625  0.23625  0.01
-0.02625  0.24375  0.05
-0.02625  0.25125  0.05
-0.02625  0.25875  0.05
-0.02625  0.26625  0.03
-0.02625  0.27375  0.03
-0.02625  0.28125  0.02
-0.02625  0.28875  0.03
-0.02625  0.29625  0.01
-0.01875  0.04125  0.28
-0.01875  0.04875  0.29
-0.01875  0.05625  0.29
-0.01875  0.06375  0.21
-0.01875  0.07125  0.25
-0.01875  0.07875  0.2
-0.01875  0.08625  0.19
-0.01875  0.09375  0.17
-0.01875  0.10125  0.19
-0.01875  0.10875  0.16
-0.01875  0.11625  0.24
-0.01875  0.12375  0.17
-0.01875  0.13125  0.11
-0.01875  0.13875  0.11
-0.01875  0.14625  0.12
-0.01875  0.15375  0.08
-0.01875  0.16125  0.15
-0.01875  0.16875  0.08
