%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 15.00 < q2 < 16.00 GeV^{2}/c^{4}

# AFB     FH   p-value
-0.18125  0.365  0.01
-0.18125  0.395  0.01
-0.17375  0.355  0.02
-0.17375  0.365  0.02
-0.17375  0.375  0.03
-0.17375  0.395  0.01
-0.16625  0.335  0.04
-0.16625  0.345  0.03
-0.16625  0.355  0.02
-0.16625  0.365  0.01
-0.16625  0.375  0.02
-0.16625  0.385  0.01
-0.16625  0.395  0.01
-0.15875  0.325  0.03
-0.15875  0.335  0.01
-0.15875  0.345  0.02
-0.15875  0.355  0.04
-0.15875  0.365  0.01
-0.15875  0.375  0.03
-0.15875  0.385  0.01
-0.15875  0.395  0.03
-0.15125  0.305  0.07
-0.15125  0.315  0.08
-0.15125  0.325  0.05
-0.15125  0.335  0.03
-0.15125  0.345  0.03
-0.15125  0.355  0.03
-0.15125  0.365  0.02
-0.15125  0.375  0.02
-0.15125  0.385  0.03
-0.15125  0.395  0.02
-0.14375  0.295  0.08
-0.14375  0.305  0.16
-0.14375  0.315  0.06
-0.14375  0.325  0.09
-0.14375  0.335  0.08
-0.14375  0.345  0.04
-0.14375  0.355  0.04
-0.14375  0.365  0.02
-0.14375  0.375  0.05
-0.14375  0.385  0.04
-0.14375  0.395  0.01
-0.13625  0.275  0.11
-0.13625  0.285  0.09
-0.13625  0.295  0.08
-0.13625  0.305  0.11
-0.13625  0.315  0.09
-0.13625  0.325  0.06
-0.13625  0.335  0.08
-0.13625  0.345  0.01
-0.13625  0.355  0.03
-0.13625  0.365  0.05
-0.13625  0.375  0.02
-0.13625  0.385  0.01
-0.13625  0.395  0.04
-0.12875  0.265  0.14
-0.12875  0.275  0.16
-0.12875  0.285  0.17
-0.12875  0.295  0.1
-0.12875  0.305  0.05
-0.12875  0.315  0.06
-0.12875  0.325  0.06
-0.12875  0.335  0.08
-0.12875  0.345  0.06
-0.12875  0.355  0.06
-0.12875  0.365  0.02
-0.12875  0.375  0.03
-0.12875  0.385  0.01
-0.12875  0.395  0.03
-0.12125  0.245  0.21
-0.12125  0.255  0.17
-0.12125  0.265  0.13
-0.12125  0.275  0.18
-0.12125  0.285  0.18
-0.12125  0.295  0.04
-0.12125  0.305  0.09
-0.12125  0.315  0.09
-0.12125  0.325  0.08
-0.12125  0.335  0.07
-0.12125  0.345  0.06
-0.12125  0.355  0.06
-0.12125  0.365  0.03
-0.12125  0.375  0.01
-0.12125  0.385  0.03
-0.12125  0.395  0.01
-0.11375  0.235  0.35
-0.11375  0.245  0.22
-0.11375  0.255  0.26
-0.11375  0.265  0.17
-0.11375  0.275  0.17
-0.11375  0.285  0.13
-0.11375  0.295  0.11
-0.11375  0.305  0.06
-0.11375  0.315  0.06
-0.11375  0.325  0.09
-0.11375  0.335  0.05
-0.11375  0.345  0.06
-0.11375  0.355  0.07
-0.11375  0.365  0.03
-0.11375  0.375  0.07
-0.11375  0.385  0.01
-0.11375  0.395  0.03
-0.10625  0.215  0.34
-0.10625  0.225  0.34
-0.10625  0.235  0.43
-0.10625  0.245  0.31
-0.10625  0.255  0.27
-0.10625  0.265  0.19
-0.10625  0.275  0.22
-0.10625  0.285  0.14
-0.10625  0.295  0.19
-0.10625  0.305  0.11
-0.10625  0.315  0.13
-0.10625  0.325  0.11
-0.10625  0.335  0.09
-0.10625  0.345  0.05
-0.10625  0.355  0.06
-0.10625  0.365  0.06
-0.10625  0.375  0.01
-0.10625  0.385  0.02
-0.10625  0.395  0.02
-0.09875  0.205  0.42
-0.09875  0.215  0.38
-0.09875  0.225  0.34
-0.09875  0.235  0.29
-0.09875  0.245  0.28
-0.09875  0.255  0.31
-0.09875  0.265  0.26
-0.09875  0.275  0.24
-0.09875  0.285  0.14
-0.09875  0.295  0.12
-0.09875  0.305  0.14
-0.09875  0.315  0.16
-0.09875  0.325  0.09
-0.09875  0.335  0.11
-0.09875  0.345  0.03
-0.09875  0.355  0.05
-0.09875  0.365  0.03
-0.09875  0.375  0.04
-0.09875  0.385  0.04
-0.09875  0.395  0.04
-0.09125  0.185  0.56
-0.09125  0.195  0.51
-0.09125  0.205  0.48
-0.09125  0.215  0.42
-0.09125  0.225  0.36
-0.09125  0.235  0.39
-0.09125  0.245  0.31
-0.09125  0.255  0.27
-0.09125  0.265  0.28
-0.09125  0.275  0.19
-0.09125  0.285  0.21
-0.09125  0.295  0.16
-0.09125  0.305  0.19
-0.09125  0.315  0.09
-0.09125  0.325  0.13
-0.09125  0.335  0.09
-0.09125  0.345  0.07
-0.09125  0.355  0.06
-0.09125  0.365  0.05
-0.09125  0.375  0.03
-0.09125  0.385  0.04
-0.09125  0.395  0.01
-0.08375  0.175  0.64
-0.08375  0.185  0.61
-0.08375  0.195  0.61
-0.08375  0.205  0.43
-0.08375  0.215  0.45
-0.08375  0.225  0.47
-0.08375  0.235  0.41
-0.08375  0.245  0.35
-0.08375  0.255  0.34
-0.08375  0.265  0.22
-0.08375  0.275  0.29
-0.08375  0.285  0.2
-0.08375  0.295  0.13
-0.08375  0.305  0.16
-0.08375  0.315  0.13
-0.08375  0.325  0.1
-0.08375  0.335  0.05
-0.08375  0.345  0.07
-0.08375  0.355  0.05
-0.08375  0.365  0.08
-0.08375  0.375  0.04
-0.08375  0.385  0.06
-0.08375  0.395  0.03
-0.07625  0.155  0.77
-0.07625  0.165  0.74
-0.07625  0.175  0.66
-0.07625  0.185  0.65
-0.07625  0.195  0.61
-0.07625  0.205  0.51
-0.07625  0.215  0.54
-0.07625  0.225  0.41
-0.07625  0.235  0.36
-0.07625  0.245  0.32
-0.07625  0.255  0.28
-0.07625  0.265  0.26
-0.07625  0.275  0.22
-0.07625  0.285  0.21
-0.07625  0.295  0.18
-0.07625  0.305  0.14
-0.07625  0.315  0.15
-0.07625  0.325  0.09
-0.07625  0.335  0.09
-0.07625  0.345  0.08
-0.07625  0.355  0.03
-0.07625  0.365  0.03
-0.07625  0.375  0.06
-0.07625  0.385  0.04
-0.07625  0.395  0.01
-0.06875  0.145  0.86
-0.06875  0.155  0.92
-0.06875  0.165  0.81
-0.06875  0.175  0.73
-0.06875  0.185  0.71
-0.06875  0.195  0.63
-0.06875  0.205  0.52
-0.06875  0.215  0.49
-0.06875  0.225  0.43
-0.06875  0.235  0.43
-0.06875  0.245  0.38
-0.06875  0.255  0.32
-0.06875  0.265  0.21
-0.06875  0.275  0.21
-0.06875  0.285  0.14
-0.06875  0.295  0.18
-0.06875  0.305  0.11
-0.06875  0.315  0.09
-0.06875  0.325  0.12
-0.06875  0.335  0.09
-0.06875  0.345  0.09
-0.06875  0.355  0.03
-0.06875  0.365  0.09
-0.06875  0.375  0.06
-0.06875  0.385  0.04
-0.06875  0.395  0.05
-0.06125  0.125  0.93
-0.06125  0.135  0.87
-0.06125  0.145  0.84
-0.06125  0.155  0.79
-0.06125  0.165  0.76
-0.06125  0.175  0.68
-0.06125  0.185  0.63
-0.06125  0.195  0.6
-0.06125  0.205  0.58
-0.06125  0.215  0.44
-0.06125  0.225  0.42
-0.06125  0.235  0.31
-0.06125  0.245  0.3
-0.06125  0.255  0.28
-0.06125  0.265  0.28
-0.06125  0.275  0.17
-0.06125  0.285  0.22
-0.06125  0.295  0.15
-0.06125  0.305  0.09
-0.06125  0.315  0.11
-0.06125  0.325  0.1
-0.06125  0.335  0.11
-0.06125  0.345  0.05
-0.06125  0.355  0.05
-0.06125  0.365  0.08
-0.06125  0.375  0.04
-0.06125  0.385  0.06
-0.06125  0.395  0.04
-0.05375  0.115  0.86
-0.05375  0.125  0.86
-0.05375  0.135  0.86
-0.05375  0.145  0.77
