%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 1.10 < q2 < 6.00 GeV^{2}/c^{4}

# AFB     FH   p-value
-0.023125  0.05175  0.05
-0.020875  0.04275  0.11
-0.020875  0.04725  0.08
-0.020875  0.05175  0.06
-0.018625  0.03825  0.08
-0.018625  0.04275  0.08
-0.018625  0.04725  0.09
-0.018625  0.05175  0.07
-0.018625  0.05625  0.09
-0.018625  0.06975  0.05
-0.016375  0.03375  0.11
-0.016375  0.03825  0.1
-0.016375  0.04275  0.09
-0.016375  0.04725  0.09
-0.016375  0.05175  0.07
-0.016375  0.05625  0.09
-0.016375  0.06075  0.07
-0.016375  0.06525  0.06
-0.016375  0.06975  0.06
-0.014125  0.02925  0.17
-0.014125  0.03375  0.16
-0.014125  0.03825  0.11
-0.014125  0.04275  0.12
-0.014125  0.04725  0.16
-0.014125  0.05175  0.1
-0.014125  0.05625  0.08
-0.014125  0.06075  0.08
-0.014125  0.06525  0.09
-0.014125  0.06975  0.07
-0.014125  0.07425  0.06
-0.014125  0.07875  0.05
-0.011875  0.02475  0.18
-0.011875  0.02925  0.21
-0.011875  0.03375  0.19
-0.011875  0.03825  0.16
-0.011875  0.04275  0.16
-0.011875  0.04725  0.11
-0.011875  0.05175  0.14
-0.011875  0.05625  0.12
-0.011875  0.06075  0.11
-0.011875  0.06525  0.11
-0.011875  0.06975  0.09
-0.011875  0.07425  0.05
-0.011875  0.08325  0.05
-0.011875  0.08775  0.06
-0.009625  0.02025  0.23
-0.009625  0.02475  0.23
-0.009625  0.02925  0.24
-0.009625  0.03375  0.16
-0.009625  0.03825  0.2
-0.009625  0.04275  0.19
-0.009625  0.04725  0.19
-0.009625  0.05175  0.2
-0.009625  0.05625  0.14
-0.009625  0.06075  0.13
-0.009625  0.06525  0.13
-0.009625  0.06975  0.1
-0.009625  0.07425  0.06
-0.009625  0.07875  0.09
-0.009625  0.08325  0.06
-0.009625  0.08775  0.05
-0.009625  0.09225  0.05
-0.009625  0.10125  0.05
-0.007375  0.01575  0.28
-0.007375  0.02025  0.28
-0.007375  0.02475  0.28
-0.007375  0.02925  0.24
-0.007375  0.03375  0.23
-0.007375  0.03825  0.21
-0.007375  0.04275  0.2
-0.007375  0.04725  0.17
-0.007375  0.05175  0.16
-0.007375  0.05625  0.18
-0.007375  0.06075  0.15
-0.007375  0.06525  0.13
-0.007375  0.06975  0.1
-0.007375  0.07425  0.11
-0.007375  0.07875  0.11
-0.007375  0.08325  0.07
-0.007375  0.08775  0.05
-0.007375  0.09225  0.08
-0.007375  0.10575  0.06
-0.007375  0.11025  0.05
-0.005125  0.01125  0.38
-0.005125  0.01575  0.41
-0.005125  0.02025  0.37
-0.005125  0.02475  0.32
-0.005125  0.02925  0.3
-0.005125  0.03375  0.27
-0.005125  0.03825  0.24
-0.005125  0.04275  0.26
-0.005125  0.04725  0.24
-0.005125  0.05175  0.23
-0.005125  0.05625  0.18
-0.005125  0.06075  0.18
-0.005125  0.06525  0.16
-0.005125  0.06975  0.12
-0.005125  0.07425  0.11
-0.005125  0.07875  0.15
-0.005125  0.08325  0.11
-0.005125  0.08775  0.09
-0.005125  0.09225  0.1
-0.005125  0.09675  0.08
-0.005125  0.10125  0.06
-0.005125  0.10575  0.07
-0.002875  0.00675  0.46
-0.002875  0.01125  0.42
-0.002875  0.01575  0.42
-0.002875  0.02025  0.47
-0.002875  0.02475  0.34
-0.002875  0.02925  0.43
-0.002875  0.03375  0.35
-0.002875  0.03825  0.33
-0.002875  0.04275  0.34
-0.002875  0.04725  0.27
-0.002875  0.05175  0.24
-0.002875  0.05625  0.19
-0.002875  0.06075  0.23
-0.002875  0.06525  0.19
-0.002875  0.06975  0.2
-0.002875  0.07425  0.15
-0.002875  0.07875  0.14
-0.002875  0.08325  0.11
-0.002875  0.08775  0.07
-0.002875  0.09225  0.1
-0.002875  0.09675  0.06
-0.002875  0.10125  0.06
-0.002875  0.10575  0.08
-0.002875  0.11475  0.07
-0.002875  0.11925  0.06
-0.000625  0.00225  0.54
-0.000625  0.00675  0.52
-0.000625  0.01125  0.55
-0.000625  0.01575  0.53
-0.000625  0.02025  0.48
-0.000625  0.02475  0.46
-0.000625  0.02925  0.5
-0.000625  0.03375  0.41
-0.000625  0.03825  0.38
-0.000625  0.04275  0.33
-0.000625  0.04725  0.33
-0.000625  0.05175  0.27
-0.000625  0.05625  0.25
-0.000625  0.06075  0.27
-0.000625  0.06525  0.21
-0.000625  0.06975  0.23
-0.000625  0.07425  0.18
-0.000625  0.07875  0.17
-0.000625  0.08325  0.18
-0.000625  0.08775  0.09
-0.000625  0.09225  0.11
-0.000625  0.09675  0.1
-0.000625  0.10125  0.08
-0.000625  0.11025  0.05
-0.000625  0.11475  0.06
0.001625  0.00675  0.67
0.001625  0.01125  0.67
0.001625  0.01575  0.64
0.001625  0.02025  0.58
0.001625  0.02475  0.58
0.001625  0.02925  0.47
0.001625  0.03375  0.45
0.001625  0.03825  0.45
0.001625  0.04275  0.37
0.001625  0.04725  0.37
0.001625  0.05175  0.31
0.001625  0.05625  0.27
0.001625  0.06075  0.35
0.001625  0.06525  0.25
0.001625  0.06975  0.21
0.001625  0.07425  0.21
0.001625  0.07875  0.16
0.001625  0.08325  0.15
0.001625  0.08775  0.15
0.001625  0.09225  0.14
0.001625  0.09675  0.09
0.001625  0.10125  0.08
0.001625  0.10575  0.06
0.001625  0.11025  0.05
0.001625  0.11475  0.06
0.001625  0.11925  0.05
0.003875  0.01125  0.84
0.003875  0.01575  0.78
0.003875  0.02025  0.72
0.003875  0.02475  0.68
0.003875  0.02925  0.57
0.003875  0.03375  0.56
0.003875  0.03825  0.51
0.003875  0.04275  0.43
0.003875  0.04725  0.45
0.003875  0.05175  0.4
0.003875  0.05625  0.33
0.003875  0.06075  0.29
0.003875  0.06525  0.27
0.003875  0.06975  0.24
0.003875  0.07425  0.24
0.003875  0.07875  0.16
0.003875  0.08325  0.16
0.003875  0.08775  0.12
0.003875  0.09225  0.16
0.003875  0.09675  0.12
0.003875  0.10125  0.11
0.003875  0.10575  0.09
0.003875  0.11025  0.08
0.003875  0.11475  0.06
0.006125  0.01575  0.83
0.006125  0.02025  0.79
0.006125  0.02475  0.73
0.006125  0.02925  0.71
0.006125  0.03375  0.67
0.006125  0.03825  0.59
0.006125  0.04275  0.53
0.006125  0.04725  0.43
0.006125  0.05175  0.45
0.006125  0.05625  0.39
0.006125  0.06075  0.34
0.006125  0.06525  0.32
0.006125  0.06975  0.3
0.006125  0.07425  0.22
0.006125  0.07875  0.21
0.006125  0.08325  0.19
0.006125  0.08775  0.19
0.006125  0.09225  0.14
0.006125  0.09675  0.08
0.006125  0.10125  0.12
0.006125  0.10575  0.11
0.006125  0.11025  0.07
0.006125  0.11475  0.09
0.006125  0.11925  0.07
0.006125  0.12825  0.06
0.008375  0.02025  0.87
0.008375  0.02475  0.81
0.008375  0.02925  0.74
0.008375  0.03375  0.68
0.008375  0.03825  0.63
0.008375  0.04275  0.56
0.008375  0.04725  0.49
0.008375  0.05175  0.43
0.008375  0.05625  0.39
0.008375  0.06075  0.37
0.008375  0.06525  0.31
0.008375  0.06975  0.26
0.008375  0.07425  0.23
0.008375  0.07875  0.24
0.008375  0.08325  0.23
0.008375  0.08775  0.18
0.008375  0.09225  0.13
0.008375  0.09675  0.13
0.008375  0.10125  0.12
0.008375  0.10575  0.12
0.008375  0.11025  0.07
0.008375  0.11475  0.09
0.008375  0.12375  0.06
0.008375  0.13725  0.06
0.010625  0.02475  0.87
0.010625  0.02925  0.8
0.010625  0.03375  0.75
0.010625  0.03825  0.67
0.010625  0.04275  0.6
0.010625  0.04725  0.56
0.010625  0.05175  0.5
0.010625  0.05625  0.48
0.010625  0.06075  0.41
0.010625  0.06525  0.39
0.010625  0.06975  0.28
0.010625  0.07425  0.29
0.010625  0.07875  0.3
0.010625  0.08325  0.19
0.010625  0.08775  0.21
0.010625  0.09225  0.2
0.010625  0.09675  0.16
0.010625  0.10125  0.1
0.010625  0.10575  0.12
0.010625  0.11025  0.07
0.010625  0.11475  0.07
0.010625  0.11925  0.07
0.012875  0.02925  0.84
0.012875  0.03375  0.78
0.012875  0.03825  0.72
0.012875  0.04275  0.65
0.012875  0.04725  0.58
0.012875  0.05175  0.5
0.012875  0.05625  0.49
0.012875  0.06075  0.44
0.012875  0.06525  0.37
0.012875  0.06975  0.34
0.012875  0.07425  0.3
0.012875  0.07875  0.28
0.012875  0.08325  0.26
0.012875  0.08775  0.19
0.012875  0.09225  0.17
0.012875  0.09675  0.14
0.012875  0.10125  0.1
0.012875  0.10575  0.1
0.012875  0.11025  0.09
0.012875  0.11475  0.08
0.012875  0.11925  0.08
0.015125  0.03375  0.76
0.015125  0.03825  0.75
0.015125  0.04275  0.71
0.015125  0.04725  0.59
0.015125  0.05175  0.55
0.015125  0.05625  0.51
0.015125  0.06075  0.41
0.015125  0.06525  0.39
0.015125  0.06975  0.34
0.015125  0.07425  0.28
0.015125  0.07875  0.21
0.015125  0.08325  0.23
0.015125  0.08775  0.24
0.015125  0.09225  0.2
0.015125  0.09675  0.15
0.015125  0.10125  0.12
0.015125  0.10575  0.12
0.015125  0.11025  0.1
0.015125  0.11475  0.07
0.015125  0.11925  0.08
0.015125  0.12375  0.06
0.015125  0.13275  0.06
0.017375  0.03825  0.73
0.017375  0.04275  0.67
0.017375  0.04725  0.57
0.017375  0.05175  0.55
0.017375  0.05625  0.49
0.017375  0.06075  0.44
0.017375  0.06525  0.4
0.017375  0.06975  0.39
0.017375  0.07425  0.31
0.017375  0.07875  0.28
0.017375  0.08325  0.2
0.017375  0.08775  0.23
0.017375  0.09225  0.21
0.017375  0.09675  0.17
0.017375  0.10125  0.13
0.017375  0.10575  0.12
0.017375  0.11025  0.09
0.017375  0.11475  0.07
0.017375  0.11925  0.07
0.017375  0.12375  0.05
0.019625  0.04275  0.67
0.019625  0.04725  0.65
0.019625  0.05175  0.62
0.019625  0.05625  0.51
0.019625  0.06075  0.43
0.019625  0.06525  0.4
0.019625  0.06975  0.37
0.019625  0.07425  0.35
0.019625  0.07875  0.28
0.019625  0.08325  0.27
0.019625  0.08775  0.18
0.019625  0.09225  0.21
0.019625  0.09675  0.16
0.019625  0.10125  0.15
0.019625  0.10575  0.12
0.019625  0.11025  0.1
0.019625  0.11475  0.08
0.019625  0.11925  0.08
0.021875  0.04725  0.64
0.021875  0.05175  0.59
0.021875  0.05625  0.57
0.021875  0.06075  0.45
0.021875  0.06525  0.42
0.021875  0.06975  0.34
0.021875  0.07425  0.3
0.021875  0.07875  0.29
0.021875  0.08325  0.22
0.021875  0.08775  0.25
0.021875  0.09225  0.19
0.021875  0.09675  0.18
0.021875  0.10125  0.14
0.021875  0.10575  0.1
0.021875  0.11025  0.11
0.021875  0.11475  0.09
0.021875  0.11925  0.06
0.021875  0.12375  0.05
0.024125  0.05175  0.51
0.024125  0.05625  0.5
0.024125  0.06075  0.46
0.024125  0.06525  0.4
0.024125  0.06975  0.38
0.024125  0.07425  0.36
0.024125  0.07875  0.25
0.024125  0.08325  0.23
0.024125  0.08775  0.22
0.024125  0.09225  0.2
0.024125  0.09675  0.16
0.024125  0.10125  0.15
0.024125  0.10575  0.13
0.024125  0.11025  0.14
0.024125  0.11475  0.1
0.024125  0.11925  0.07
0.024125  0.12375  0.05
0.024125  0.12825  0.07
0.024125  0.13275  0.06
0.026375  0.05625  0.49
0.026375  0.06075  0.41
0.026375  0.06525  0.33
0.026375  0.06975  0.35
0.026375  0.07425  0.35
0.026375  0.07875  0.22
0.026375  0.08325  0.24
0.026375  0.08775  0.2
0.026375  0.09225  0.18
0.026375  0.09675  0.2
0.026375  0.10125  0.13
0.026375  0.10575  0.13
0.026375  0.11025  0.09
0.026375  0.11475  0.11
0.026375  0.11925  0.13
0.026375  0.13725  0.05
0.028625  0.06075  0.43
0.028625  0.06525  0.38
0.028625  0.06975  0.3
0.028625  0.07425  0.36
0.028625  0.07875  0.24
0.028625  0.08325  0.19
0.028625  0.08775  0.22
0.028625  0.09225  0.17
0.028625  0.09675  0.17
0.028625  0.10125  0.13
0.028625  0.10575  0.12
0.028625  0.11025  0.14
0.028625  0.11475  0.07
0.028625  0.11925  0.07
0.028625  0.12375  0.06
0.028625  0.12825  0.05
0.030875  0.06525  0.4
0.030875  0.06975  0.33
0.030875  0.07425  0.31
0.030875  0.07875  0.22
0.030875  0.08325  0.25
0.030875  0.08775  0.22
0.030875  0.09225  0.19
0.030875  0.09675  0.17
0.030875  0.10125  0.16
0.030875  0.10575  0.14
0.030875  0.11025  0.08
0.030875  0.11475  0.09
0.030875  0.11925  0.07
0.030875  0.12375  0.06
0.030875  0.12825  0.06
0.030875  0.13275  0.06
0.033125  0.06975  0.35
0.033125  0.07425  0.31
0.033125  0.07875  0.25
0.033125  0.08325  0.21
0.033125  0.08775  0.23
0.033125  0.09225  0.16
0.033125  0.09675  0.17
0.033125  0.10125  0.16
0.033125  0.10575  0.16
0.033125  0.11025  0.09
0.033125  0.11475  0.08
0.033125  0.11925  0.09
0.033125  0.12375  0.07
0.033125  0.12825  0.05
0.033125  0.13275  0.07
0.033125  0.14175  0.06
0.035375  0.07425  0.27
0.035375  0.07875  0.21
0.035375  0.08325  0.23
0.035375  0.08775  0.18
0.035375  0.09225  0.16
0.035375  0.09675  0.14
0.035375  0.10125  0.11
0.035375  0.10575  0.11
0.035375  0.11025  0.09
0.035375  0.11475  0.07
0.035375  0.11925  0.08
0.035375  0.12375  0.07
0.035375  0.12825  0.06
0.037625  0.07875  0.27
0.037625  0.08325  0.21
0.037625  0.08775  0.17
0.037625  0.09225  0.18
0.037625  0.09675  0.12
0.037625  0.10125  0.14
0.037625  0.10575  0.12
0.037625  0.11025  0.1
0.037625  0.11475  0.1
0.037625  0.11925  0.09
0.037625  0.12375  0.06
0.039875  0.08325  0.23
0.039875  0.08775  0.15
0.039875  0.09225  0.18
0.039875  0.09675  0.14
0.039875  0.10125  0.14
0.039875  0.10575  0.13
0.039875  0.11025  0.1
0.039875  0.11475  0.08
0.039875  0.11925  0.09
0.039875  0.12375  0.06
0.042125  0.08775  0.17
0.042125  0.09225  0.14
0.042125  0.09675  0.12
0.042125  0.10125  0.14
0.042125  0.10575  0.09
0.042125  0.11025  0.11
0.042125  0.11475  0.09
0.042125  0.11925  0.05
0.042125  0.12825  0.05
0.044375  0.09225  0.14
0.044375  0.09675  0.14
0.044375  0.10125  0.1
