%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 17.00 < q2 < 18.00 GeV^{2}/c^{4}

# AFB     FH   p-value
-0.117  0.23625  0.02
-0.117  0.24675  0.02
-0.117  0.27825  0.01
-0.117  0.28875  0.01
-0.117  0.29925  0.01
-0.117  0.30975  0.01
-0.117  0.32025  0.01
-0.111  0.22575  0.03
-0.111  0.23625  0.02
-0.111  0.24675  0.02
-0.111  0.25725  0.01
-0.111  0.26775  0.02
-0.111  0.27825  0.01
-0.111  0.28875  0.01
-0.111  0.29925  0.01
-0.111  0.32025  0.01
-0.111  0.33075  0.01
-0.111  0.34125  0.01
-0.111  0.35175  0.01
-0.111  0.37275  0.01
-0.111  0.38325  0.01
-0.105  0.21525  0.01
-0.105  0.22575  0.06
-0.105  0.23625  0.03
-0.105  0.24675  0.02
-0.105  0.25725  0.04
-0.105  0.26775  0.03
-0.105  0.27825  0.02
-0.105  0.28875  0.01
-0.105  0.29925  0.02
-0.105  0.30975  0.01
-0.105  0.32025  0.02
-0.105  0.36225  0.01
-0.105  0.37275  0.01
-0.105  0.39375  0.01
-0.105  0.40425  0.01
-0.099  0.20475  0.03
-0.099  0.21525  0.05
-0.099  0.22575  0.08
-0.099  0.23625  0.05
-0.099  0.24675  0.05
-0.099  0.25725  0.03
-0.099  0.26775  0.02
-0.099  0.27825  0.03
-0.099  0.28875  0.03
-0.099  0.29925  0.02
-0.099  0.30975  0.04
-0.099  0.32025  0.02
-0.099  0.34125  0.01
-0.099  0.35175  0.01
-0.099  0.36225  0.01
-0.099  0.37275  0.01
-0.093  0.19425  0.11
-0.093  0.20475  0.08
-0.093  0.21525  0.07
-0.093  0.22575  0.04
-0.093  0.23625  0.04
-0.093  0.24675  0.07
-0.093  0.25725  0.02
-0.093  0.26775  0.05
-0.093  0.27825  0.02
-0.093  0.28875  0.02
-0.093  0.29925  0.02
-0.093  0.30975  0.03
-0.093  0.32025  0.01
-0.093  0.33075  0.01
-0.093  0.35175  0.01
-0.093  0.36225  0.02
-0.093  0.37275  0.01
-0.087  0.18375  0.13
-0.087  0.19425  0.11
-0.087  0.20475  0.08
-0.087  0.21525  0.08
-0.087  0.22575  0.06
-0.087  0.23625  0.03
-0.087  0.24675  0.1
-0.087  0.25725  0.05
-0.087  0.26775  0.03
-0.087  0.27825  0.04
-0.087  0.28875  0.04
-0.087  0.29925  0.04
-0.087  0.30975  0.02
-0.087  0.32025  0.02
-0.087  0.33075  0.02
-0.087  0.35175  0.02
-0.087  0.36225  0.03
-0.087  0.37275  0.01
-0.087  0.39375  0.01
-0.081  0.16275  0.22
-0.081  0.17325  0.22
-0.081  0.18375  0.19
-0.081  0.19425  0.17
-0.081  0.20475  0.11
-0.081  0.21525  0.09
-0.081  0.22575  0.06
-0.081  0.23625  0.12
-0.081  0.24675  0.08
-0.081  0.25725  0.07
-0.081  0.26775  0.08
-0.081  0.27825  0.02
-0.081  0.28875  0.07
-0.081  0.29925  0.04
-0.081  0.32025  0.02
-0.081  0.33075  0.02
-0.081  0.34125  0.03
-0.081  0.35175  0.02
-0.081  0.37275  0.01
-0.081  0.38325  0.01
-0.081  0.39375  0.01
-0.075  0.15225  0.28
-0.075  0.16275  0.22
-0.075  0.17325  0.17
-0.075  0.18375  0.24
-0.075  0.19425  0.18
-0.075  0.20475  0.16
-0.075  0.21525  0.08
-0.075  0.22575  0.14
-0.075  0.23625  0.08
-0.075  0.24675  0.16
-0.075  0.25725  0.09
-0.075  0.26775  0.05
-0.075  0.27825  0.04
-0.075  0.28875  0.04
-0.075  0.29925  0.04
-0.075  0.30975  0.03
-0.075  0.32025  0.04
-0.075  0.33075  0.02
-0.075  0.34125  0.03
-0.075  0.35175  0.01
-0.075  0.37275  0.01
