%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 18.00 < q2 < 19.00 GeV^{2}/c^{4}

# AFB     FH   p-value
-0.117  0.23625  0.01
-0.117  0.24675  0.02
-0.117  0.25725  0.03
-0.117  0.26775  0.01
-0.117  0.29925  0.01
-0.117  0.30975  0.02
-0.117  0.32025  0.01
-0.117  0.33075  0.01
-0.117  0.34125  0.01
-0.117  0.36225  0.01
-0.117  0.38325  0.01
-0.117  0.39375  0.01
-0.117  0.41475  0.01
-0.111  0.24675  0.01
-0.111  0.25725  0.02
-0.111  0.27825  0.01
-0.111  0.28875  0.01
-0.111  0.30975  0.01
-0.111  0.32025  0.02
-0.111  0.33075  0.02
-0.111  0.36225  0.01
-0.111  0.37275  0.01
-0.111  0.40425  0.01
-0.111  0.41475  0.01
-0.105  0.21525  0.02
-0.105  0.22575  0.03
-0.105  0.23625  0.02
-0.105  0.24675  0.01
-0.105  0.25725  0.03
-0.105  0.26775  0.01
-0.105  0.27825  0.01
-0.105  0.28875  0.01
-0.105  0.29925  0.01
-0.105  0.30975  0.01
-0.105  0.32025  0.01
-0.105  0.34125  0.01
-0.105  0.37275  0.01
-0.105  0.38325  0.01
-0.105  0.40425  0.01
-0.099  0.20475  0.03
-0.099  0.21525  0.01
-0.099  0.22575  0.03
-0.099  0.23625  0.01
-0.099  0.24675  0.02
-0.099  0.25725  0.03
-0.099  0.26775  0.03
-0.099  0.27825  0.01
-0.099  0.28875  0.02
-0.099  0.29925  0.01
-0.099  0.30975  0.01
-0.099  0.32025  0.02
-0.099  0.33075  0.03
-0.099  0.34125  0.01
-0.099  0.35175  0.01
-0.099  0.36225  0.01
-0.099  0.38325  0.02
-0.099  0.39375  0.02
-0.099  0.41475  0.01
-0.093  0.19425  0.05
-0.093  0.20475  0.03
-0.093  0.21525  0.04
-0.093  0.22575  0.03
-0.093  0.23625  0.03
-0.093  0.24675  0.02
-0.093  0.25725  0.03
-0.093  0.26775  0.01
-0.093  0.27825  0.04
-0.093  0.28875  0.03
-0.093  0.29925  0.02
-0.093  0.30975  0.01
-0.093  0.32025  0.02
-0.093  0.33075  0.03
-0.093  0.34125  0.03
-0.093  0.36225  0.01
-0.093  0.37275  0.01
-0.093  0.38325  0.01
-0.093  0.39375  0.01
-0.093  0.40425  0.01
-0.093  0.41475  0.01
-0.087  0.18375  0.04
-0.087  0.19425  0.04
-0.087  0.20475  0.03
-0.087  0.21525  0.03
-0.087  0.22575  0.04
-0.087  0.23625  0.03
-0.087  0.24675  0.03
-0.087  0.25725  0.05
-0.087  0.26775  0.06
-0.087  0.27825  0.06
-0.087  0.28875  0.04
-0.087  0.29925  0.04
-0.087  0.30975  0.03
-0.087  0.32025  0.01
-0.087  0.33075  0.03
-0.087  0.34125  0.01
-0.087  0.35175  0.03
-0.087  0.36225  0.02
-0.087  0.37275  0.01
-0.087  0.38325  0.01
-0.087  0.39375  0.01
-0.087  0.40425  0.01
-0.087  0.41475  0.01
-0.081  0.16275  0.06
-0.081  0.17325  0.07
-0.081  0.18375  0.06
-0.081  0.19425  0.08
-0.081  0.20475  0.1
-0.081  0.21525  0.06
-0.081  0.22575  0.04
-0.081  0.23625  0.06
-0.081  0.24675  0.04
-0.081  0.25725  0.05
-0.081  0.26775  0.04
-0.081  0.27825  0.06
-0.081  0.28875  0.05
-0.081  0.29925  0.05
-0.081  0.30975  0.03
-0.081  0.32025  0.03
-0.081  0.33075  0.03
-0.081  0.34125  0.02
-0.081  0.35175  0.04
-0.081  0.36225  0.04
-0.081  0.37275  0.01
-0.081  0.38325  0.02
-0.081  0.39375  0.01
-0.081  0.41475  0.02
-0.075  0.15225  0.11
-0.075  0.16275  0.08
-0.075  0.17325  0.08
-0.075  0.18375  0.06
-0.075  0.19425  0.07
-0.075  0.20475  0.1
-0.075  0.21525  0.06
-0.075  0.22575  0.08
-0.075  0.23625  0.06
-0.075  0.24675  0.05
-0.075  0.25725  0.04
-0.075  0.26775  0.08
-0.075  0.27825  0.06
-0.075  0.28875  0.06
-0.075  0.29925  0.06
-0.075  0.30975  0.05
-0.075  0.32025  0.07
-0.075  0.33075  0.04
-0.075  0.34125  0.03
-0.075  0.35175  0.04
-0.075  0.36225  0.02
-0.075  0.37275  0.01
-0.075  0.38325  0.02
-0.075  0.39375  0.02
-0.075  0.40425  0.01
-0.069  0.14175  0.09
-0.069  0.15225  0.12
-0.069  0.16275  0.07
-0.069  0.17325  0.14
-0.069  0.18375  0.12
-0.069  0.19425  0.16
-0.069  0.20475  0.13
-0.069  0.21525  0.09
-0.069  0.22575  0.09
-0.069  0.23625  0.09
-0.069  0.24675  0.11
-0.069  0.25725  0.06
-0.069  0.26775  0.08
-0.069  0.27825  0.09
-0.069  0.28875  0.09
-0.069  0.29925  0.06
-0.069  0.30975  0.05
-0.069  0.32025  0.02
-0.069  0.33075  0.06
-0.069  0.34125  0.05
-0.069  0.35175  0.08
-0.069  0.36225  0.05
-0.069  0.37275  0.04
-0.069  0.38325  0.01
-0.069  0.39375  0.03
-0.069  0.40425  0.02
-0.069  0.41475  0.01
-0.063  0.13125  0.13
-0.063  0.14175  0.13
-0.063  0.15225  0.13
-0.063  0.16275  0.11
-0.063  0.17325  0.16
-0.063  0.18375  0.15
-0.063  0.19425  0.14
-0.063  0.20475  0.17
-0.063  0.21525  0.17
-0.063  0.22575  0.14
-0.063  0.23625  0.15
-0.063  0.24675  0.11
-0.063  0.25725  0.13
-0.063  0.26775  0.13
-0.063  0.27825  0.13
-0.063  0.28875  0.1
-0.063  0.29925  0.09
-0.063  0.30975  0.08
-0.063  0.32025  0.07
-0.063  0.33075  0.06
-0.063  0.34125  0.05
-0.063  0.35175  0.08
-0.063  0.36225  0.01
-0.063  0.37275  0.03
-0.063  0.38325  0.02
-0.063  0.39375  0.03
-0.063  0.40425  0.02
-0.063  0.41475  0.03
-0.057  0.12075  0.15
-0.057  0.13125  0.2
-0.057  0.14175  0.14
-0.057  0.15225  0.12
-0.057  0.16275  0.15
-0.057  0.17325  0.21
-0.057  0.18375  0.16
-0.057  0.19425  0.17
-0.057  0.20475  0.18
-0.057  0.21525  0.17
-0.057  0.22575  0.21
-0.057  0.23625  0.18
-0.057  0.24675  0.17
-0.057  0.25725  0.19
-0.057  0.26775  0.09
-0.057  0.27825  0.11
-0.057  0.28875  0.09
-0.057  0.29925  0.1
-0.057  0.30975  0.08
-0.057  0.32025  0.09
-0.057  0.33075  0.14
-0.057  0.34125  0.06
-0.057  0.35175  0.07
-0.057  0.36225  0.04
-0.057  0.37275  0.03
-0.057  0.38325  0.03
-0.057  0.39375  0.04
-0.057  0.40425  0.01
-0.051  0.11025  0.19
-0.051  0.12075  0.19
-0.051  0.13125  0.22
-0.051  0.14175  0.22
-0.051  0.15225  0.23
-0.051  0.16275  0.24
-0.051  0.17325  0.31
-0.051  0.18375  0.31
-0.051  0.19425  0.31
-0.051  0.20475  0.26
-0.051  0.21525  0.26
-0.051  0.22575  0.23
-0.051  0.23625  0.23
-0.051  0.24675  0.22
-0.051  0.25725  0.16
-0.051  0.26775  0.17
-0.051  0.27825  0.24
-0.051  0.28875  0.11
-0.051  0.29925  0.11
-0.051  0.30975  0.11
-0.051  0.32025  0.11
-0.051  0.33075  0.08
-0.051  0.34125  0.08
-0.051  0.35175  0.03
-0.051  0.36225  0.06
-0.051  0.37275  0.04
-0.051  0.38325  0.04
-0.051  0.39375  0.04
-0.051  0.40425  0.03
-0.051  0.41475  0.01
-0.045  0.09975  0.24
-0.045  0.11025  0.28
-0.045  0.12075  0.3
-0.045  0.13125  0.28
-0.045  0.14175  0.31
-0.045  0.15225  0.31
-0.045  0.16275  0.33
-0.045  0.17325  0.38
-0.045  0.18375  0.31
-0.045  0.19425  0.35
-0.045  0.20475  0.42
-0.045  0.21525  0.31
-0.045  0.22575  0.27
-0.045  0.23625  0.26
-0.045  0.24675  0.28
-0.045  0.25725  0.24
-0.045  0.26775  0.24
-0.045  0.27825  0.18
-0.045  0.28875  0.16
-0.045  0.29925  0.16
-0.045  0.30975  0.14
-0.045  0.32025  0.08
-0.045  0.33075  0.06
-0.045  0.34125  0.11
-0.045  0.35175  0.08
-0.045  0.36225  0.06
-0.045  0.37275  0.03
-0.045  0.38325  0.06
-0.045  0.39375  0.04
-0.045  0.40425  0.01
-0.045  0.41475  0.03
-0.039  0.07875  0.26
-0.039  0.08925  0.29
-0.039  0.09975  0.28
-0.039  0.11025  0.32
-0.039  0.12075  0.34
-0.039  0.13125  0.35
-0.039  0.14175  0.38
-0.039  0.15225  0.51
-0.039  0.16275  0.46
-0.039  0.17325  0.46
-0.039  0.18375  0.51
-0.039  0.19425  0.45
-0.039  0.20475  0.46
-0.039  0.21525  0.38
-0.039  0.22575  0.39
-0.039  0.23625  0.37
-0.039  0.24675  0.28
-0.039  0.25725  0.28
-0.039  0.26775  0.22
-0.039  0.27825  0.17
-0.039  0.28875  0.19
-0.039  0.29925  0.16
-0.039  0.30975  0.17
-0.039  0.32025  0.16
-0.039  0.33075  0.09
-0.039  0.34125  0.08
-0.039  0.35175  0.08
-0.039  0.36225  0.09
-0.039  0.37275  0.06
-0.039  0.38325  0.04
-0.039  0.39375  0.08
-0.039  0.40425  0.04
-0.039  0.41475  0.03
-0.033  0.06825  0.22
-0.033  0.07875  0.36
-0.033  0.08925  0.34
-0.033  0.09975  0.48
-0.033  0.11025  0.41
-0.033  0.12075  0.49
-0.033  0.13125  0.43
-0.033  0.14175  0.55
-0.033  0.15225  0.6
-0.033  0.16275  0.52
-0.033  0.17325  0.61
-0.033  0.18375  0.57
-0.033  0.19425  0.46
-0.033  0.20475  0.46
-0.033  0.21525  0.46
-0.033  0.22575  0.48
-0.033  0.23625  0.39
-0.033  0.24675  0.35
-0.033  0.25725  0.28
-0.033  0.26775  0.27
-0.033  0.27825  0.22
-0.033  0.28875  0.28
-0.033  0.29925  0.16
-0.033  0.30975  0.2
-0.033  0.32025  0.15
-0.033  0.33075  0.2
-0.033  0.34125  0.11
-0.033  0.35175  0.08
-0.033  0.36225  0.13
-0.033  0.37275  0.06
-0.033  0.38325  0.03
-0.033  0.39375  0.06
-0.033  0.40425  0.04
-0.033  0.41475  0.03
-0.027  0.05775  0.23
-0.027  0.06825  0.35
-0.027  0.07875  0.4
-0.027  0.08925  0.41
-0.027  0.09975  0.54
-0.027  0.11025  0.58
-0.027  0.12075  0.6
-0.027  0.13125  0.63
-0.027  0.14175  0.66
-0.027  0.15225  0.64
-0.027  0.16275  0.6
-0.027  0.17325  0.57
-0.027  0.18375  0.57
-0.027  0.19425  0.56
-0.027  0.20475  0.49
-0.027  0.21525  0.56
-0.027  0.22575  0.47
-0.027  0.23625  0.41
-0.027  0.24675  0.4
-0.027  0.25725  0.33
-0.027  0.26775  0.3
-0.027  0.27825  0.22
-0.027  0.28875  0.26
