%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 2.00 < q2 < 3.00 GeV^{2}/c^{4}

# AFB     FH   p-value
-0.1422216875  0.285  0.01
-0.1422216875  0.305  0.01
-0.1422216875  0.315  0.01
-0.1333328125  0.275  0.01
-0.1333328125  0.355  0.01
-0.1333328125  0.395  0.01
-0.1244439375  0.265  0.01
-0.1244439375  0.275  0.01
-0.1244439375  0.335  0.01
-0.1244439375  0.345  0.01
-0.1244439375  0.375  0.01
-0.1244439375  0.395  0.01
-0.1155550625  0.235  0.01
-0.1155550625  0.245  0.01
-0.1155550625  0.255  0.01
-0.1155550625  0.265  0.01
-0.1155550625  0.275  0.01
-0.1155550625  0.295  0.03
-0.1155550625  0.305  0.01
-0.1155550625  0.315  0.01
-0.1155550625  0.355  0.01
-0.1155550625  0.365  0.01
-0.1155550625  0.375  0.01
-0.1155550625  0.395  0.01
-0.1066661875  0.225  0.01
-0.1066661875  0.235  0.01
-0.1066661875  0.245  0.01
-0.1066661875  0.265  0.01
-0.1066661875  0.275  0.01
-0.1066661875  0.285  0.01
-0.1066661875  0.305  0.01
-0.1066661875  0.315  0.01
-0.1066661875  0.325  0.01
-0.1066661875  0.335  0.01
-0.1066661875  0.345  0.01
-0.1066661875  0.355  0.02
-0.1066661875  0.365  0.01
-0.1066661875  0.375  0.01
-0.1066661875  0.395  0.01
-0.0977773125  0.205  0.01
-0.0977773125  0.215  0.03
-0.0977773125  0.225  0.01
-0.0977773125  0.235  0.01
-0.0977773125  0.245  0.01
-0.0977773125  0.255  0.01
-0.0977773125  0.265  0.01
-0.0977773125  0.275  0.01
-0.0977773125  0.285  0.01
-0.0977773125  0.295  0.03
-0.0977773125  0.305  0.03
-0.0977773125  0.315  0.04
-0.0977773125  0.325  0.02
-0.0977773125  0.345  0.01
-0.0977773125  0.355  0.01
-0.0977773125  0.365  0.02
-0.0977773125  0.385  0.02
-0.0977773125  0.395  0.01
-0.0888884375  0.185  0.05
