%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 21.00 < q2 < 22.00 GeV^{2}/c^{4}

# AFB     FH   p-value
-0.04625  0.09375  0.31
-0.04625  0.10625  0.3
-0.04625  0.11875  0.27
-0.04625  0.13125  0.27
-0.04625  0.14375  0.29
-0.04625  0.15625  0.34
-0.04625  0.16875  0.23
-0.04625  0.18125  0.31
-0.04625  0.19375  0.32
-0.04625  0.20625  0.35
-0.04625  0.21875  0.27
-0.04625  0.23125  0.3
-0.04625  0.24375  0.3
-0.04625  0.25625  0.31
-0.04625  0.26875  0.28
-0.04625  0.28125  0.3
-0.04625  0.29375  0.26
-0.04625  0.30625  0.26
-0.04625  0.31875  0.26
-0.04625  0.33125  0.24
-0.04625  0.34375  0.25
-0.04625  0.35625  0.26
-0.04625  0.36875  0.2
-0.04625  0.38125  0.21
-0.04625  0.39375  0.22
-0.04625  0.40625  0.21
-0.04625  0.41875  0.22
-0.04625  0.43125  0.18
-0.04625  0.44375  0.17
-0.04625  0.45625  0.2
-0.04625  0.46875  0.19
-0.04625  0.48125  0.13
-0.04625  0.49375  0.13
-0.03875  0.08125  0.37
-0.03875  0.09375  0.36
-0.03875  0.10625  0.36
-0.03875  0.11875  0.3
-0.03875  0.13125  0.33
-0.03875  0.14375  0.35
-0.03875  0.15625  0.31
-0.03875  0.16875  0.3
-0.03875  0.18125  0.35
-0.03875  0.19375  0.28
-0.03875  0.20625  0.33
-0.03875  0.21875  0.37
-0.03875  0.23125  0.34
-0.03875  0.24375  0.32
-0.03875  0.25625  0.32
-0.03875  0.26875  0.38
-0.03875  0.28125  0.29
-0.03875  0.29375  0.29
-0.03875  0.30625  0.28
-0.03875  0.31875  0.27
-0.03875  0.33125  0.34
-0.03875  0.34375  0.24
-0.03875  0.35625  0.27
-0.03875  0.36875  0.32
-0.03875  0.38125  0.24
-0.03875  0.39375  0.28
-0.03875  0.40625  0.24
-0.03875  0.41875  0.28
-0.03875  0.43125  0.21
-0.03875  0.44375  0.24
-0.03875  0.45625  0.21
-0.03875  0.46875  0.2
-0.03875  0.48125  0.16
-0.03875  0.49375  0.2
-0.03125  0.06875  0.29
-0.03125  0.08125  0.33
-0.03125  0.09375  0.34
-0.03125  0.10625  0.34
-0.03125  0.11875  0.39
-0.03125  0.13125  0.37
-0.03125  0.14375  0.36
-0.03125  0.15625  0.4
-0.03125  0.16875  0.37
-0.03125  0.18125  0.29
-0.03125  0.19375  0.38
-0.03125  0.20625  0.4
-0.03125  0.21875  0.39
-0.03125  0.23125  0.36
-0.03125  0.24375  0.34
-0.03125  0.25625  0.31
-0.03125  0.26875  0.31
-0.03125  0.28125  0.34
-0.03125  0.29375  0.34
-0.03125  0.30625  0.32
-0.03125  0.31875  0.38
-0.03125  0.33125  0.34
-0.03125  0.34375  0.37
-0.03125  0.35625  0.32
-0.03125  0.36875  0.35
-0.03125  0.38125  0.27
-0.03125  0.39375  0.23
-0.03125  0.40625  0.3
-0.03125  0.41875  0.27
-0.03125  0.43125  0.25
-0.03125  0.44375  0.23
-0.03125  0.45625  0.21
-0.03125  0.46875  0.21
-0.03125  0.48125  0.18
-0.03125  0.49375  0.14
-0.02375  0.05625  0.35
-0.02375  0.06875  0.38
-0.02375  0.08125  0.37
-0.02375  0.09375  0.36
-0.02375  0.10625  0.4
-0.02375  0.11875  0.39
-0.02375  0.13125  0.39
-0.02375  0.14375  0.34
-0.02375  0.15625  0.4
-0.02375  0.16875  0.45
-0.02375  0.18125  0.44
-0.02375  0.19375  0.36
-0.02375  0.20625  0.44
-0.02375  0.21875  0.43
-0.02375  0.23125  0.38
-0.02375  0.24375  0.37
-0.02375  0.25625  0.47
-0.02375  0.26875  0.42
-0.02375  0.28125  0.43
-0.02375  0.29375  0.36
-0.02375  0.30625  0.41
-0.02375  0.31875  0.35
-0.02375  0.33125  0.38
-0.02375  0.34375  0.38
-0.02375  0.35625  0.35
-0.02375  0.36875  0.32
-0.02375  0.38125  0.3
-0.02375  0.39375  0.3
-0.02375  0.40625  0.27
-0.02375  0.41875  0.27
-0.02375  0.43125  0.26
-0.02375  0.44375  0.22
-0.02375  0.45625  0.28
-0.02375  0.46875  0.22
-0.02375  0.48125  0.27
-0.02375  0.49375  0.19
-0.01625  0.04375  0.36
-0.01625  0.05625  0.42
-0.01625  0.06875  0.36
-0.01625  0.08125  0.45
-0.01625  0.09375  0.46
-0.01625  0.10625  0.47
-0.01625  0.11875  0.54
-0.01625  0.13125  0.47
-0.01625  0.14375  0.5
-0.01625  0.15625  0.47
-0.01625  0.16875  0.46
-0.01625  0.18125  0.4
-0.01625  0.19375  0.56
-0.01625  0.20625  0.47
-0.01625  0.21875  0.55
-0.01625  0.23125  0.46
-0.01625  0.24375  0.45
-0.01625  0.25625  0.32
-0.01625  0.26875  0.39
-0.01625  0.28125  0.36
-0.01625  0.29375  0.4
-0.01625  0.30625  0.39
-0.01625  0.31875  0.39
-0.01625  0.33125  0.34
-0.01625  0.34375  0.38
-0.01625  0.35625  0.36
-0.01625  0.36875  0.42
-0.01625  0.38125  0.38
-0.01625  0.39375  0.33
-0.01625  0.40625  0.34
-0.01625  0.41875  0.32
-0.01625  0.43125  0.32
-0.01625  0.44375  0.24
-0.01625  0.45625  0.3
-0.01625  0.46875  0.29
-0.01625  0.48125  0.22
-0.01625  0.49375  0.23
-0.00875  0.01875  0.44
-0.00875  0.03125  0.42
-0.00875  0.04375  0.4
-0.00875  0.05625  0.41
-0.00875  0.06875  0.45
-0.00875  0.08125  0.54
-0.00875  0.09375  0.6
-0.00875  0.10625  0.57
-0.00875  0.11875  0.59
-0.00875  0.13125  0.56
-0.00875  0.14375  0.49
-0.00875  0.15625  0.59
-0.00875  0.16875  0.55
-0.00875  0.18125  0.58
-0.00875  0.19375  0.48
-0.00875  0.20625  0.4
-0.00875  0.21875  0.55
-0.00875  0.23125  0.56
-0.00875  0.24375  0.54
-0.00875  0.25625  0.54
-0.00875  0.26875  0.53
-0.00875  0.28125  0.43
-0.00875  0.29375  0.5
-0.00875  0.30625  0.44
-0.00875  0.31875  0.38
-0.00875  0.33125  0.31
-0.00875  0.34375  0.44
-0.00875  0.35625  0.36
-0.00875  0.36875  0.35
-0.00875  0.38125  0.39
-0.00875  0.39375  0.3
-0.00875  0.40625  0.36
-0.00875  0.41875  0.34
-0.00875  0.43125  0.29
-0.00875  0.44375  0.24
-0.00875  0.45625  0.28
-0.00875  0.46875  0.28
-0.00875  0.48125  0.24
-0.00875  0.49375  0.22
-0.00125  0.00625  0.37
-0.00125  0.01875  0.43
-0.00125  0.03125  0.49
-0.00125  0.04375  0.43
-0.00125  0.05625  0.5
-0.00125  0.06875  0.62
-0.00125  0.08125  0.54
-0.00125  0.09375  0.63
-0.00125  0.10625  0.61
-0.00125  0.11875  0.69
